test_text,retrieval_id,cos_sim,cos_distance,label
Can I find a partner here,26,0.4644996,0.5355004,0
Two weeks after sex can emergency pills work,320,0.5344528,0.4655472,1
Yup!,179,0.2900519,0.70994806,0
Naeza pata namba za save for save,347,0.5876668,0.4123332,1
Right time ya kuget into a relationship,9,0.5231251,0.4768749,1
3,355,0.30055192,0.6994481,0
"Am lazy ,I feel tired and am worried juu ndio naanza semester like nataka kukua energetic....unaeza nipea tips",300,0.48324546,0.5167545,1
How can I fix my relationship after entertaining another man in my life,178,0.36447138,0.6355286,1
Who is the head of the family,344,0.24895827,0.7510417,1
How to prevent pregnancy as a man,19,0.6855921,0.31440789,1
I have a bad oduor kwa vagina,6,0.5263359,0.4736641,1
I have some kind of symptoms na sijui kama inaweza kuwa ni STI ama UTI,249,0.596061,0.403939,1
Sex inaezafanywa na mtu yeyote.l mean  hata under 18,64,0.7070863,0.29291368,1
Wat n wen r safe days 4 a woman,195,0.47184435,0.5281557,1
Nimekuwa na periods from 6th oct until date na nimeenda hosi nikapewa dawa na haziishi,376,0.6046011,0.3953989,1
2023-11-27T15:58:01.695843Z,352,0.305678,0.694322,0
So nataka kuuliza kama wazzii can explain STI's to me,173,0.67186755,0.32813245,1
"So my period is 25 days late. It's never late. My cycle ranges from 28 to 34 days., I did the urine and blood test for pregnancy and they were both negative. What could be the problem?",99,0.39925134,0.60074866,1
Kuna shida if you boyfriend anakuweka kidole wakati mna make out?,43,0.6257753,0.37422472,1
2024-05-09T19:07:01.222357Z,352,0.3264572,0.6735428,0
2024-02-26T15:15:01.373577Z,352,0.32376948,0.67623055,0
How someone knows if he or she is a sex addict,174,0.45735848,0.5426415,1
Like i have a boyfriend na nikikosa ku have sex na yeye ana jam what should i do,353,0.6152969,0.3847031,1
"I love having sex alot,,could that be a problem,,advice",180,0.4116124,0.5883876,1
Can I get pregnant when I have sex during my period time,289,0.40383747,0.59616256,1
2024-01-02T19:23:01.401545Z,352,0.30698928,0.6930107,0
I experience itchiness and an awkward discharge after my periods it's quite uncomfortable,6,0.47681275,0.5231873,1
What are the causes of miscarriage,253,0.52685416,0.47314584,1
2024-01-31T10:17:01.412249Z,352,0.3100539,0.68994606,0
"I produce a smelly discharge,,what can be the problem",6,0.523099,0.476901,1
Nataka kureduce boobs. Is it possible?,336,0.4764107,0.5235893,1
Are the contraceptives really good for one who haven't given birth yetm,306,0.5611781,0.4388219,1
How can I know if my partner loves me,198,0.37200433,0.62799567,1
How do I calculate my safe days yet I have irregular periods just to be safe when having sex with my partner,195,0.55095947,0.44904053,1
"All my mates wakona boyfriend na girlfriend,while, Am still single.I can't bare, The feeling.wat should I do?",353,0.46121085,0.53878915,1
Yup!,179,0.2900519,0.70994806,0
due,323,0.22827302,0.77172697,0
"Mtu anaweza toa mimba ya miezi nne kwa kutumia njia gani?, isipokuwa dawa...",370,0.7029556,0.2970444,1
"What do you do when you feel like everyone doesn't want you in your life... starting from your parents,friends and even boyfriend?",98,0.2693563,0.7306437,1
by,148,0.23938021,0.76061976,0
After sex mbona uki Kaa sana unafeel pain Kwa mgongo,215,0.6903894,0.3096106,1
Zi!,316,0.53000957,0.46999043,0
"Ok mm during sex I just wet for minutes after that I get dry completely,na it ends up kukua painful kwangu ,am I ok? naogopa kuenda hoc",47,0.6257406,0.3742594,1
2023-12-31T21:19:01.120699Z,352,0.30133107,0.69866896,0
Waxing or shaving?,59,0.29151252,0.7084875,1
Una itwa ajee,254,0.6376097,0.36239028,1
I'm I really supposed to feel insecure after hanging out with a guy whom is not classed as my boyfriend .... then realize that he is known to many ladies,136,0.32821584,0.67178416,1
so I'm 18 and I really wanna experience sex but I am afraid of breaking my virginity coz I had that the process is so painful..how can you advice me,124,0.6106783,0.38932168,1
2023-12-29T07:04:01.741988Z,352,0.32010466,0.67989534,0
2023-10-18T19:10:01.653596Z,352,0.31416097,0.68583906,0
Can I have sex while having this severe pain while urination,126,0.6473501,0.35264993,1
How should I avoid sex intercourse im an addict,155,0.47564942,0.5243506,1
is there any posibbility mtu kupata bol after umehave sex na atumie p2,265,0.61485183,0.38514817,1
Relationships,95,0.51490957,0.48509043,1
"Dem akiweka depo, inaeza cause UTI",288,0.660465,0.339535,1
I had unprotected sex na najishuku Niko mimba😭....bt cjaona signs zote za pregnancy...am just stressed out...pliz help,158,0.6172165,0.38278347,1
How does someone get confidence and be sexually active after worst experience in relationships that made her not to like sex,133,0.42079273,0.5792073,1
Niko na pimples Kwa groin hair na inatoka puss iyo ni stl😭,97,0.5621046,0.43789542,1
Is it normal to have pain cramps after period and blood spotting?,162,0.66605216,0.33394784,1
Mbona kijana hawezi kaa  bila dem,364,0.6625884,0.33741158,1
2023-12-13T16:10:01.205278Z,352,0.30833805,0.69166195,0
If one is having sex with a person who has STI'S and her has protection can he get the infections,263,0.6213013,0.3786987,1
What are the earliest signs of STIS,263,0.5882506,0.41174942,1
3,355,0.30055192,0.6994481,0
Utajua aje manzi ananyesha,89,0.7081473,0.2918527,1
Periods zangu hazikam vizuri,376,0.9084448,0.09155518,1
Having sex sana iko na effect yoyote,97,0.6519727,0.3480273,1
How to have healthy sex,122,0.5779297,0.42207032,1
How can I get twins,19,0.33609957,0.66390043,1
by,148,0.23938021,0.76061976,0
Which contraceptives are safest and birth control pills that won't have a later effect on someone,1,0.6623518,0.3376482,1
When should someone do a raw sex na asipate ball,320,0.54897064,0.45102936,1
"I have this guy I met almost 2years ago in 2020, we had not known each other at all we met at my cousins birthday… I had a crush on his friend(keep in mind I did not even talk to him) so I wanted to do something with the guy I had a crush on but then I ended up doing it with the guy I’m talking about…So after those 2 or so years we finally met during the new years(in 2020 we did not have sex… we just got sexual but not that sexual and we never talked after that) so during New Years we met and he kissed me and we danced and all..he told me to text him on IG I did he replied but hasn’t talked to me again… now I’m confused should I reach out again ama I respect myself???",297,0.32574916,0.67425084,1
"I have this guy we have known each other for a month now we have been friends lakini apparently we have fallen in love he tells me how he loves me 😍 and from his actions I am truly telling how much he loves me , He has went ahead and introduced me to his parents through a phone call with the saying that hataki kunidate na sijui wazazi wake, The guy stays in Nairobi me I stay in eldoret we have never meet we meet online and we became friends and we loved each other, He helps me whenever I need help he calls me on video calls and even on normal calls , I can tell we have bonded alot were now getting two months since, He is 24 am 20 please advice me here",377,0.51460826,0.48539174,1
Long distance relationship hua zinawork?,31,0.73261994,0.26738006,1
2024-01-07T06:23:03.698327Z,352,0.32962048,0.6703795,0
self,349,0.2823325,0.71766746,0
Ni poa ku have sex,323,0.78523463,0.21476537,1
"I have this recurring signs ,,, itching kwa vagina na thick white discharge that stick on the vaginal walls,,,it comes and goes after sometime,,,huwa inarudi like after two months",6,0.6552281,0.34477192,1
Naeza ongea na any professional,160,0.5756255,0.42437452,1
"I need to start family planning which one is the best and second , 2 if someone has never gave birth can you use family planning",1,0.6531214,0.3468786,1
Why do I experience lower abdominal pains,162,0.5109032,0.48909682,1
Is anal sex healthy?,263,0.43427432,0.5657257,1
2023-09-22T14:14:01.376747Z,352,0.32335722,0.6766428,0
unakuwaka wp,254,0.52756685,0.47243315,0
2023-12-14T17:44:01.360647Z,352,0.30548894,0.69451106,0
Dem wangu ananicheat,165,0.561014,0.438986,1
2024-11-22T08:14:01.466788Z,352,0.32256117,0.67743886,0
2024-04-25T10:29:01.443805Z,352,0.32327157,0.6767284,0
I have a question periods zangu zimemiss hii month but cjakuwa na penetrative sex the last thing we did was dry humping with my man can I get pregnant for I am really worried about it.,265,0.57079214,0.42920786,1
"Okay, it's about friendships. Do you think it's okay if your friend always tells you openly of how people don't like you or how other people think you're ugly?",98,0.33901367,0.6609863,1
3,355,0.30055192,0.6994481,0
"Kàma umepatana na boyfriend online na hamjawai meet bt huwa mnabonga through video calls then he tells you that anakupenda ntajuaje?  Secondly he needs you to trust him,,,how should I do or know about him?",350,0.5987749,0.4012251,1
"I like my partner a lot but then I feel like am not ready to break my virginity am a little afraid of letting it go but my partner really want us to make out and when I tell him how I feel he says that it's just impossible to love him and not make love to him , Wazzi I want to but am just afraid of loosing my virginity rn what should I do ?",243,0.44467646,0.55532354,1
Business gani naweza Anza campo,183,0.5479361,0.45206392,0
Well i was told most contraceptives most huaffect body Like bleeding  Back pains Adding weight  Like how will I know the best one for me even though have tried the coil method and UID,1,0.62102926,0.37897074,1
What to do after sex ...like the aftercare...,122,0.54806775,0.45193225,1
This is for what suarly,341,0.33028665,0.6697134,1
How to avoid pregnancy,19,0.78364366,0.21635634,1
"AM 21old,and my girlfriend she 23old,so my question is..Does this will work realy?",295,0.42261973,0.5773803,1
Does social distancing cause poor relationship?,37,0.39136,0.60863996,1
"Thank you 💯, , I understand one of the reasons he can't commit into a relationship is because of our religious differences, and the fact that if my parent ever caught us, things will get messy for both of us. But am willing to try and see how it'll be if we would date., , Stuck between two decisions, keeping things as they are, like we're kinda dating it's just that the 'relationship' name is not present, or calling it off because of his reasons that I don't agree with..., , Any advice?",3,0.37997538,0.6200246,1
How many types of pussy do you have on your data,358,0.33388576,0.6661142,1
P2 should be taken after how long,355,0.39009067,0.6099093,1
2024-08-28T12:33:01.347638Z,352,0.32687393,0.6731261,0
2023-11-15T21:21:01.806112Z,352,0.299349,0.700651,0
Why do I feel that relationship's are boring,136,0.41880307,0.5811969,1
Request online chat,146,0.4180441,0.5819559,1
Is it okay mtu kutokuwa na girlfriend for 8years,3,0.6052309,0.39476907,1
Lend me with ten thousand I pay fees for my brother and pay house and buy something to eat I'll refund back please and God will bless you please,380,0.25317428,0.7468257,0
Like every time I go to the washroom on a longcal it really get so itchy what might be the cause,6,0.44153646,0.5584636,1
What is the Best age to loose virginity,9,0.6753501,0.32464987,1
Am addicted to masturbation sasa,301,0.56924826,0.43075174,1
My question is i have being engaging in unprotected sex for about 5 months with my man and all this while amekua akimwaga ndani like am supposed to be pregnant yet am not concieving ...nime move in na yeye and we engage in sex almost daily but still sipati ball ......mimi badw nanyesha kila mwezi .....am wondering what  may be the problem with me,265,0.64666194,0.35333806,1
Ok,188,0.36119157,0.6388084,0
Some nasty texts that I can send to my boyfriend and turn him on immediately,309,0.3105945,0.6894055,1
Is arbotion safe?,306,0.32533672,0.6746633,1
I have my friend to whom I want to help anotoka fluids za white inform of something imeganda,143,0.44629917,0.5537008,1
What about nikikunywa maji after sex,320,0.6835488,0.3164512,1
"So I've been talking to this guy for some time now..tumeenda date moja na nafeel that through our communication, aspect ya intimacy inacome up sana...na feel scared kuenulge kwa anything, juu siko comfortable sana na my own skin..kuna pressures mingi kutoka my friends, convo mingi ni kuhusu intimacy na I feel like I'm weird or something is wrong",3,0.6115005,0.3884995,1
my siz told me today that in school walikuwa wanapewa punishment cause most of them walicopy and mwalimu aliwauliza kama alicopy but yeye hakujibu akabaki kama ameketi then class ikasema eti yeye alicopy and it was true but she defended herself then class teacher akamuambia aende Kwa principal office but hakuenda alidhani ni obvious jokes za teacher she is asking for an opinion and what she would do?,65,0.50862086,0.49137914,1
"I broke up with my girlfriend a year ago and I need her back,  but she keeps on reminding me how I broke her heart. So she always refuses to forgive me for that past and she has already moved on.. what should I do to get her back cause I can't stop thinking of her every night 🥹",196,0.41759253,0.5824075,1
"Heyy, my name is Gloria.  I have been celibate since last year june. For the first time ever,my periods are 4 days late. What could be the reason? I have genuinely been celibate and I don't even know what could be the reason. What should I do?",99,0.44651434,0.55348563,1
Please help me am in depression naskia nimefika mwisho,235,0.49573916,0.50426084,1
Can I ask now,188,0.333018,0.666982,1
What happens when I take emergency pills three times within a one week?,199,0.46761233,0.5323877,1
After how long should one engange in sex after dating someone for a week,320,0.50957215,0.49042785,1
How can one del with a hearbreak,44,0.34009102,0.659909,1
Have been dealing with hormonal imbalance and irregular periods my question is how to balance my hormones na periods ziwe regular,305,0.5372891,0.46271092,1
2023-11-22T21:44:02.325558Z,352,0.28494054,0.71505946,0
"Hello,..I need your advise,..I have never had sex with anyone and am currently single but when I am in a relationship I do foreplay with my partner like kissing, caressing but no fingering and penetration....I am not ready to have sex yet but sometimes when am single I masturbate sometimes once in a while because am human I get horny sometimes,...is it bad to do so?",130,0.49039277,0.5096072,1
2023-10-19T16:02:01.449269Z,352,0.31115255,0.6888474,0
3,355,0.30055192,0.6994481,0
"Me ni mtu am confused, kama need of continuing with the journey of living with a man kwa nyumba, or stop it. And whenever I talk of living the guy get so hurt hadi anasema vitu zingine, can't imagine kumwacha afanye hivo. So like me navumilia tu, how will I cope up and change him to be the better version of the man I want?",244,0.55828965,0.44171035,1
6,188,0.24197082,0.75802916,0
One of my b**bs feels a bit harder than the other one...is it a matter of concern😔😔😔,87,0.3997789,0.6002211,1
I want to know people,323,0.31325665,0.6867434,1
2023-10-15T18:45:01.481822Z,352,0.31672508,0.6832749,0
How can I release an air ball during sex,133,0.37941912,0.6205809,1
Do ladies also get horny,336,0.35051063,0.6494894,1
Biology question,132,0.23903082,0.76096916,0
Naeza do nini to keep our conversation going with my boo,357,0.5290364,0.4709636,1
How to control if in need of a girlfriend 💕,206,0.45275718,0.5472428,1
Am in a relationship where tuko wawili but the other girl is outside the country and she is coming back after 20 years and the boy alimchoose coz the girl used to send him money and at the same time the boy tells me he lives me that he loves both of us and the friend to the boy told just to chill aty dem akue akituma doh tukule i don't know if the boy loves me or he loves the other girl coz he doesn't want me to move on he also told me that ako na haja na hii maisha yangu hapa mbele,128,0.56745374,0.43254626,1
"So,yk around this age most ladies wako sexually active. I was wondering if it is okay for one to use any contraceptives and if so which is the best option that won't have later effects on my body?",294,0.59359777,0.40640223,1
1,125,0.32215124,0.67784876,0
𝚒𝚜 𝚒𝚝 𝚗𝚘𝚛𝚖𝚊𝚕 𝚏𝚘𝚛 𝚊𝚖𝚊𝚗 𝚝𝚘 𝚊𝚕𝚠𝚊𝚢𝚜 𝚊𝚜𝚔 𝚑𝚒𝚜 𝚜𝚎𝚡 𝚙𝚊𝚛𝚝𝚗𝚎𝚛 𝚝𝚘 𝚛𝚒𝚍𝚎 𝚘𝚗 𝚑𝚒𝚖 𝚜𝚒𝚗𝚌𝚎 𝚝𝚑𝚊𝚝𝚜 𝚝𝚑𝚎 𝚘𝚗𝚕𝚢 𝚠𝚊𝚢 𝚝𝚘 𝚜𝚊𝚝𝚒𝚜𝚏𝚢 𝚑𝚎𝚛 𝚊𝚜 𝚑𝚎𝚜 𝚠𝚎𝚊𝚔 𝚠𝚑𝚎𝚗 𝚑𝚎 𝚛𝚒𝚍𝚎𝚜,333,0.3849595,0.61504054,0
How can i treat cramps during my period?,162,0.65787196,0.34212804,1
Are there benefits to having anal sex?,263,0.42100942,0.5789906,1
by,148,0.23938021,0.76061976,0
"I wanted to ask ,,,, If I did a mistake on getting pregnant without informing my boyfriend",174,0.4505668,0.54943323,1
issue,37,0.37174487,0.6282551,0
I have a lot of cramps during mensuration na nimetumie madawa na haziwork ...shida ni nini,278,0.6315144,0.36848563,1
Mtu anaweza Fanya Nini  asikue depressed,349,0.644716,0.35528398,1
Hello last month periods zangu zilikam kama clot like vitu zimeshikana so I was wondering if that's normal,264,0.7912184,0.2087816,1
2023-12-03T04:46:01.604267Z,352,0.31981635,0.68018365,0
What if you took an emergency pill within 24 hrs even when your ovulating,285,0.53340936,0.46659064,1
2023-12-17T15:12:01.631377Z,352,0.3063499,0.6936501,0
I feel gayish from childhood but never explored it anyhow....I got a girlfriend but it's like am forcing myself to have one... I see my fellow man's thighs and chest I naturally erect...I've tried assuming my emotions over the years coz I don't want to accept being gay but the emotions are overcoming me and I feel tempted to give it a try....plizzz help,91,0.546603,0.45339698,1
I slept with my bofriend on my last safe day period and can i get pregnant,265,0.46305713,0.53694284,1
Ukitake p2 chances za kuget pregnant ni?,360,0.61047566,0.38952434,1
2023-10-22T10:43:01.510549Z,352,0.30142817,0.6985718,0
"So I'm an 18 years old Virgini, Na nataka kuhave sex for the first time, , Any tips please?",124,0.6818434,0.3181566,1
Kuna watu hawapatangi pleasure from sex?,78,0.72530615,0.27469385,1
"Nafaa kuwa na Nini kwa pack yangu before nionyeshe,, especially if periods zangu hazina any signs",205,0.6255232,0.3744768,1
"Wife wangu Ako lazy mbaya, kunifulia nguo inabidi ka nmemkumbusha,,, To make the matter worse yeye hukulia jikoni , me hukula peke yangu dining room,,, and our family is still young we have two kids, But ameniboo mbya Should I divorce",371,0.5235566,0.4764434,1
Can I get pregnant nikiwa na implant?,52,0.6691903,0.3308097,1
Where can I get sugar mommy,210,0.3530733,0.6469267,0
How to make sure that I do not have the negative feelings after sex,133,0.5274562,0.47254378,1
self,349,0.2823325,0.71766746,1
2023-11-15T20:55:01.180614Z,352,0.31259298,0.687407,0
"I have a girlfriend and she is 1month pregnant so I was asking what am I supposed to be doing or what is she supposed to be doing as from now ,,cause its our first child...??",360,0.4659667,0.5340333,1
Mbona breast moja huwa biggy than the other,364,0.56897426,0.43102574,1
2024-01-30T14:42:01.864904Z,352,0.3191303,0.6808697,0
Bytheway naongea n nn plzz,270,0.4543547,0.5456453,1
What does discharge ya yellow and look more like a york indicate bt it is not smelly,6,0.65639514,0.34360486,1
How can I get a girl .......since I have never  approach any,129,0.27751663,0.7224834,1
Kuna venye being not circumcised affect mseee when smashing😂,70,0.46156856,0.5384314,1
How can a girl feel like she is sexual harassed,130,0.31023994,0.6897601,1
"Kwa relationship,like a marriage,ukioa mdem mwenye anakuzidi salary, like for example,anaearn 100k na we as a man of the house unapata 60k,how is your view about that, like who is now the end of the family hapo",161,0.5860376,0.41396242,0
Is preventing ku cum fast possible after masturbating for a long time?,175,0.4406844,0.55931556,1
3,355,0.30055192,0.6994481,0
"so kuna this guy i really like na he says he likes me too lakini hanipei attention,alafu ni kama hataki kuonekana na mimi,,,sasa what should I do?",67,0.5133105,0.4866895,1
What are the early signs of pregnancy,103,0.5376088,0.4623912,1
"My perineum inawasha na a smelly discharge inatoka, Nimemeza antibiotics mob sana na pia injections but haiishi",101,0.5568237,0.44317633,1
3,355,0.30055192,0.6994481,0
Is it true that one can fail to enjoy vaginal sex...?and what could be the reason behind it? What's the solution,241,0.44601732,0.5539827,1
2023-12-28T08:58:01.147779Z,352,0.3278675,0.6721325,1
how to watching porn and masturbating,258,0.54992074,0.45007926,1
"I would like to get on contraceptives Ile injection ya 3 months, what are the possible side effects",267,0.6179569,0.38204312,1
What are the side effects of depo,199,0.57584435,0.42415565,1
I have a boyfriend who is a bit far .... I feel so insecure,239,0.34882635,0.65117365,1
How can I make my love relationship healthy and going,136,0.4611373,0.5388627,1
How can I confirm one week pregnant,103,0.542493,0.457507,1
Mse anafaa kutake pills each time anahave sex ama Iko na limits per month?,306,0.63936836,0.36063164,1
Ok there's this boy who claims he likes me but am not so sure if he loves and he wants to have sex with me,174,0.4260694,0.5739306,1
How can I deal with my loneliness and feeling left out,232,0.29579958,0.7042004,1
Yea,148,0.2530106,0.74698937,1
