test_text,retrieval_id,cos_sim,cos_distance,label
Is it a must msee able edit on the first day of having sex,508,1.0000001,-1.1920929e-07,1
How can I get a girl .......since I have never  approach any,560,1.0000001,-1.1920929e-07,1
What should I do coz I'm very thirsty 4 smashing,561,1.0,0.0,1
Dem wangu ananicheat,577,1.0,0.0,1
"Thank you 💯, , I understand one of the reasons he can't commit into a relationship is because of our religious differences, and the fact that if my parent ever caught us, things will get messy for both of us. But am willing to try and see how it'll be if we would date., , Stuck between two decisions, keeping things as they are, like we're kinda dating it's just that the 'relationship' name is not present, or calling it off because of his reasons that I don't agree with..., , Any advice?",662,1.0000001,-1.1920929e-07,1
Mmh it's all about my body. I Wana ask how to make my breast  still  to stand strong? What should I do?,496,1.0000001,-1.1920929e-07,1
How to control if in need of a girlfriend 💕,621,1.0000001,-1.1920929e-07,1
what are the ways u can advise me to use to save,558,0.40021873,0.5997813,0
Is it okay mtu kutokuwa na girlfriend for 8years,611,1.0,0.0,1
Why didn't i receive any response,540,0.33496472,0.66503525,0
Safe days huwa after how many days after your periods?,535,1.0,0.0,1
Does morning pill work during ovulation,655,1.0000001,-1.1920929e-07,1
2023-09-22T10:04:01.785171Z,364,0.97375035,0.026249647,0
"My lady is experiencing burning sensation,, while urinating (Q) is that UTI",379,1.0,0.0,1
Ok,188,0.3611914,0.6388086,0
Ni poa ku have sex,348,1.0000001,-1.1920929e-07,1
"All my mates wakona boyfriend na girlfriend,while, Am still single.I can't bare, The feeling.wat should I do?",434,1.0000001,-1.1920929e-07,1
2023-12-21T18:55:01.480686Z,364,0.9851949,0.0148050785,0
forced,224,0.32342136,0.67657864,0
"Mtu anaweza toa mimba ya miezi nne kwa kutumia njia gani?, isipokuwa dawa...",370,1.0000001,-1.1920929e-07,1
by,409,0.2974639,0.7025361,0
if you have unprotected sex 3days before periods unaeza pata ball,320,0.7341484,0.26585162,0
2023-12-28T08:58:01.147779Z,364,1.0,0.0,1
unakuwaka wp,442,0.53570634,0.46429366,0
self,409,1.0,0.0,1
My bestfriend is suicidal. I don't know what to do,376,1.0,0.0,1
Hello,415,1.0000001,-1.1920929e-07,1
Mtu hujua aje chali yako anakucheat?,642,1.0,0.0,1
Can I get pregnant when I have sex during my period time,619,1.0,0.0,1
What are the side effects of depo,503,0.99999994,5.9604645e-08,1
In which condition can an emergency contraceptive pill fail to work efficiently,446,1.0,0.0,1
I experience itchiness and an awkward discharge after my periods it's quite uncomfortable,509,1.0000001,-1.1920929e-07,1
2024-04-18T15:18:01.233083Z,364,0.97034484,0.029655159,0
Does social distancing cause poor relationship?,542,1.0000001,-1.1920929e-07,1
issue,441,1.0,0.0,1
How can I know if my partner loves me,674,1.0000001,-1.1920929e-07,1
Does size matter,554,1.0,0.0,1
Why would a man ask me to take medicine before sex that is harmful,476,1.0,0.0,1
Is it good to have friends with benefits? Juu like currently am not dating but sometimes i feel i need a man for sexual desires,629,1.0000001,-1.1920929e-07,1
isn't normal to miss period for more than 3 months and you aren't pregnant,501,1.0000001,-1.1920929e-07,1
2023-11-15T21:21:01.806112Z,364,0.9758036,0.024196386,0
Hello! Can I get this video...I need my friend to get this information she is not on Instagram,641,1.0,0.0,1
Can the breast be of the sama size,599,1.0,0.0,1
Which kind of family planning is good ?,475,1.0000001,-1.1920929e-07,1
I was asking if u wazii... help one to find a job,606,0.40839428,0.5916057,0
Am 20yrs and am a virgin but I really want to have sex but am afraid,420,1.0000001,-1.1920929e-07,1
Am addicted to masturbation sasa,363,1.0,0.0,1
Naeza pata mchumba huku,439,1.0000001,-1.1920929e-07,1
How can one del with a hearbreak,688,1.0000001,-1.1920929e-07,1
"Dem akiweka depo, inaeza cause UTI",521,1.0,0.0,1
What the right to date,369,1.0,0.0,1
Kwani Kuna periods zinaenda for 30 days because unasema ati kama longest cycle yangu ni 30 days...azin I can't get it well,615,1.0000001,-1.1920929e-07,1
Hello last month periods zangu zilikam kama clot like vitu zimeshikana so I was wondering if that's normal,523,1.0000001,-1.1920929e-07,1
Viagra hutake how long uki have sex ukimeza full medicine,614,1.0000001,-1.1920929e-07,1
"Vaginal discharge yangu ina stink at times,, I'm a thick woman na it really sucks that it happens,, I shaved down there, my hygiene iko top but still it stinks... Pia kuna vile ina taste and I can't receive head with that kind of taste,, please don't judge me that I tasted it,, my man fingered me and put his fingers in my mouth nkafeel kupuke... What could be the problem?",670,1.0,0.0,1
2023-12-01T11:50:01.442484Z,364,0.9790348,0.020965219,0
"So I've been talking to this guy for some time now..tumeenda date moja na nafeel that through our communication, aspect ya intimacy inacome up sana...na feel scared kuenulge kwa anything, juu siko comfortable sana na my own skin..kuna pressures mingi kutoka my friends, convo mingi ni kuhusu intimacy na I feel like I'm weird or something is wrong",405,1.0,0.0,1
After how long should one engange in sex after dating someone for a week,349,1.0000001,-1.1920929e-07,1
What are the earliest signs of STIS,385,1.0000001,-1.1920929e-07,1
2024-01-07T06:23:03.698327Z,364,0.9763523,0.023647726,0
How do I make the lady who made me join this platform my girlfriend. She's cute I really like her,417,1.0,0.0,1
Am in a relationship where tuko wawili but the other girl is outside the country and she is coming back after 20 years and the boy alimchoose coz the girl used to send him money and at the same time the boy tells me he lives me that he loves both of us and the friend to the boy told just to chill aty dem akue akituma doh tukule i don't know if the boy loves me or he loves the other girl coz he doesn't want me to move on he also told me that ako na haja na hii maisha yangu hapa mbele,555,1.0,0.0,1
2023-12-15T13:18:01.218657Z,364,0.98756087,0.012439132,0
Why do I feel that relationship's are boring,663,1.0,0.0,1
Yup!,398,0.6783156,0.32168442,0
2023-12-31T21:19:01.120699Z,364,0.985097,0.014903009,0
Mbona my breast nahisi uchungu alf my nipples ni ngumu especially ikishika maji na inakaa kama imecrack karibu na nipple,353,1.0,0.0,1
Mbona pads hufichwa na gazeti ukibuy?,416,1.0000001,-1.1920929e-07,1
"Okay, it's about friendships. Do you think it's okay if your friend always tells you openly of how people don't like you or how other people think you're ugly?",665,1.0,0.0,1
Sasawqa,170,0.42511705,0.574883,0
How can I know the best family planning method for my body?,567,1.0000001,-1.1920929e-07,1
"Mahn i have this girlfriend,so like tulibreak for Christmas yeye akaenda kwao na mimi kwetu,then b4 tuende home tulihave sex tho sikumwaga ndani,after a few days she confirmed to me that ako na ball, Tukadecide tusitoe,tuweke but kuna venye tu ni kama hatufeeliani kabisa ady inafika point nashuku io ball si yangu,sa nilkua nauliza in this state what should i do?",620,1.0,0.0,1
What about nikikunywa maji after sex,589,1.0000001,-1.1920929e-07,1
Yup!,398,0.6783157,0.3216843,0
is it normal for someone to masturbate?,635,1.0000001,-1.1920929e-07,1
What causes ectopic pregnancy,408,1.0,0.0,1
Naishi na my aunts na ninateswa sana like juzi nimepigwa hadi slaps for no reasons kuconcetrate daro imekua ngori this moment im feeling to end my life miniscule my parents staff nappies hawaniskizi had naona hawa enyewe hawanipendi why make me go through all these im just a girl sai niko depressed,673,1.0000001,-1.1920929e-07,1
Mbona breast moja huwa biggy than the other,471,1.0,0.0,1
"So,yk around this age most ladies wako sexually active. I was wondering if it is okay for one to use any contraceptives and if so which is the best option that won't have later effects on my body?",459,1.0,0.0,1
2024-10-21T20:26:01.342790Z,364,0.98057365,0.019426346,0
What is sex besic,429,0.99999994,5.9604645e-08,1
Mbona kijana hawezi kaa  bila dem,469,1.0000001,-1.1920929e-07,1
Wat n wen r safe days 4 a woman,539,1.0000001,-1.1920929e-07,1
How can I release an air ball during sex,667,1.0,0.0,1
3,675,0.7002393,0.2997607,0
Why do I experience lower abdominal pains,668,1.0000001,-1.1920929e-07,1
What causes recurrent UTI other than sex?,687,1.0000001,-1.1920929e-07,1
How effective is contraceptive,346,1.0000001,-1.1920929e-07,1
2024-05-09T19:07:01.222357Z,364,0.9636599,0.036340117,0
"I have irregular periods,so this time I started and they stopped the same day but bado cramps zilikuwa then nikakaa for like one day halafu ikaanza tena but in a more painful way ,is it normal?",519,1.0000001,-1.1920929e-07,1
I have my friend to whom I want to help anotoka fluids za white inform of something imeganda,360,1.0,0.0,1
How can I be able to control my sexual urges,565,1.0,0.0,1
I don't have a girlfriend,489,1.0000001,-1.1920929e-07,1
My calendar of period says that yesterday was a high chance of getting pregnant but I had sex,671,1.0000001,-1.1920929e-07,1
Like can I have some of the conversation starters when someone is shy,530,1.0,0.0,1
2023-12-22T15:18:01.271911Z,364,0.98598105,0.014018953,0
"If your doing sex then you released outside in the first round, the second round you released insidd can the girl conseave or pregnate",603,1.0000001,-1.1920929e-07,1
Is it bad for being a virgin,553,1.0,0.0,1
Yup!,398,0.6783156,0.32168442,0
Have been dealing with hormonal imbalance and irregular periods my question is how to balance my hormones na periods ziwe regular,676,1.0,0.0,1
6,675,1.0,0.0,0
"I've been having  dry vagina for sometime now,what might be the problem?",494,1.0,0.0,1
How do you let go of someone who you still love soo much yet you know at some point he did you wrong but he still comes back?,372,1.0,0.0,1
Kuna boy huwa nimecrushia mi hushuku ni g*y juu anakuanga anti women. Shida ni eti ye hushinda akisema vile amekufia madem but hana wake. Ndo maana namshuku. Nisaidie.,679,1.0,0.0,1
How long should sameone date,638,1.0000001,-1.1920929e-07,1
I had an anxiety attack today.. nmeanza tu kulia non-stop na nlikuwa nashake for no reason... I mentally sick,666,1.0,0.0,1
"Heyy, my name is Gloria.  I have been celibate since last year june. For the first time ever,my periods are 4 days late. What could be the reason? I have genuinely been celibate and I don't even know what could be the reason. What should I do?",597,1.0,0.0,1
Waxing or shaving?,684,0.99999994,5.9604645e-08,1
Naeza do nini to keep our conversation going with my boo,427,1.0,0.0,1
Please help me am in depression naskia nimefika mwisho,518,0.9999999,1.1920929e-07,1
Okay thanks,398,0.27752426,0.72247577,0
Safe days zako za kuhave unprotected sex  after your periods hukuwa ngapi?,526,1.0000001,-1.1920929e-07,1
ok nikona boyfriend mih najua that we love each other Sana Lakini alitumwa job mbali na sa communication kuna vile ime change Sana anadai aty ataki kua na hom sick akinibongesha inamanisha nini,622,1.0000001,-1.1920929e-07,1
What are the early signs of pregnancy,658,1.0,0.0,1
What are the causes of miscarriage,464,1.0,0.0,1
Periods zangu hazikam vizuri,479,1.0,0.0,1
Does anal sex pose a risk to STI,493,1.0,0.0,1
So apparently nikona shida na sijai pata solution uncle yangu alinislap akanipiga ju nilienda Ku visit my divorced father ju waliachananga na mum namwonanga naskia apana sjai msamehea ju si rahisi nidoo,628,1.0000001,-1.1920929e-07,1
Request online chat,455,1.0000001,-1.1920929e-07,1
What's the group about,564,1.0,0.0,1
2024-11-02T21:44:01.362711Z,364,0.9766862,0.02331382,0
"Sasa , I had communicated  about the spotting I was experiencing , Sasa toka last week I've been experiencing heavy periods , I mean like blood clots all through , Sasa sijui ni dawa gani nafaa kumeza",490,1.0000001,-1.1920929e-07,1
2024-08-28T12:33:01.347638Z,364,0.97616005,0.02383995,0
2023-10-18T19:10:01.653596Z,364,0.99092084,0.009079158,0
Is it true that one can fail to enjoy vaginal sex...?and what could be the reason behind it? What's the solution,436,1.0,0.0,1
2024-05-17T18:05:01.508411Z,364,0.96179354,0.038206458,0
i want to know if my man is cheating on me?,495,1.0,0.0,1
TRUE,554,0.24328642,0.75671357,0
"I'm so passionate about helping youths and stuff like that, can one be an ambassador of wazzii?",430,1.0,0.0,1
Is arbotion safe?,605,1.0,0.0,1
Mtu anaweza Fanya Nini  asikue depressed,623,1.0,0.0,1
Kama mlifuck na msee ukiwa on your periods then zikapotea hizo periods,596,1.0,0.0,1
I had unprotected sex na najishuku Niko mimba😭....bt cjaona signs zote za pregnancy...am just stressed out...pliz help,499,1.0000001,-1.1920929e-07,1
Are the contraceptives really good for one who haven't given birth yetm,343,1.0000001,-1.1920929e-07,1
"Kwa relationship,like a marriage,ukioa mdem mwenye anakuzidi salary, like for example,anaearn 100k na we as a man of the house unapata 60k,how is your view about that, like who is now the end of the family hapo",161,0.5860375,0.41396248,0
2024-09-20T13:10:01.670633Z,364,0.97606766,0.023932338,0
2023-12-16T20:43:01.519537Z,364,0.98353094,0.016469061,0
I'd like to know more about the coil,470,1.0000001,-1.1920929e-07,1
Mwanaume anafaa kuvaaa condom aje,576,0.99999994,5.9604645e-08,1
by,409,0.2974639,0.7025361,0
Niliget implant contraceptive kitambo kidogo I got my periods early na since then it's been like 2week na bado napata droplets kidogo Kila siku its so uncomfortable ju inaeza come tu at any time na siyuko prepared is it normal?,591,1.0,0.0,1
Is anal sex healthy?,631,1.0000001,-1.1920929e-07,1
Want to know more about Viagra pills,566,1.0,0.0,1
I feel gayish from childhood but never explored it anyhow....I got a girlfriend but it's like am forcing myself to have one... I see my fellow man's thighs and chest I naturally erect...I've tried assuming my emotions over the years coz I don't want to accept being gay but the emotions are overcoming me and I feel tempted to give it a try....plizzz help,594,1.0000001,-1.1920929e-07,1
Utajua aje manzi ananyesha,613,1.0,0.0,1
Where can I get counselling services at a cheap price,681,0.99999994,5.9604645e-08,1
2024-05-11T12:28:01.555398Z,364,0.9599441,0.04005587,0
"What if before alete huyo dame nilimuongelesha nikamuambia mimi staki amlete ila bado tu limleta, wanaishi wawili kwa.single room.",544,1.0,0.0,1
2023-11-22T21:44:02.325558Z,364,0.95718366,0.04281634,0
Mtu anafaa kuhave sex mara ngapi week,355,1.0000001,-1.1920929e-07,1
Right time ya kuget into a relationship,375,1.0,0.0,1
Kma mse anatoka discharge yellowish ama bloodish kwa breast moja inaeza kua sign ya nn ama ni shida gni ako nayo,497,1.0,0.0,1
How can  I know my love language,595,1.0,0.0,1
I have a boyfriend who is a bit far .... I feel so insecure,391,1.0000001,-1.1920929e-07,1
"I produce a smelly discharge,,what can be the problem",406,1.0,0.0,1
What happens when I take emergency pills three times within a one week?,527,1.0,0.0,1
Is it okay to date as a teen,477,1.0,0.0,1
My question is i have being engaging in unprotected sex for about 5 months with my man and all this while amekua akimwaga ndani like am supposed to be pregnant yet am not concieving ...nime move in na yeye and we engage in sex almost daily but still sipati ball ......mimi badw nanyesha kila mwezi .....am wondering what  may be the problem with me,352,1.0,0.0,1
How can I confirm one week pregnant,506,1.0,0.0,1
Some conversations you really should have with your partner,689,1.0,0.0,1
I know it's weird but aki mnihelp nipate job,378,0.5734354,0.42656457,0
"My perineum inawasha na a smelly discharge inatoka, Nimemeza antibiotics mob sana na pia injections but haiishi",647,1.0,0.0,1
Who is the head of the family,467,1.0000001,-1.1920929e-07,1
"lam in relationship with this guy l met in my campus ,we have dated since September l love this guy so much bt for the last  three days he is not talking or either replying my text what should l do lam confused",540,1.0,0.0,1
How old are u,32,0.4338833,0.5661167,0
1,675,0.6507687,0.3492313,0
1,675,0.6507689,0.34923112,0
2,675,0.6702775,0.32972252,0
"I love having sex alot,,could that be a problem,,advice",500,1.0000001,-1.1920929e-07,1
"so kuna this guy i really like na he says he likes me too lakini hanipei attention,alafu ni kama hataki kuonekana na mimi,,,sasa what should I do?",450,1.0000001,-1.1920929e-07,1
How to make sure that I do not have the negative feelings after sex,454,1.0,0.0,1
"Is it okay when a partner doesn't want to tell you things that concern him and he use to do that before?, , Is it manipulation if a partner all over sudden starts being harsh even when he's wrong so that you don't question them any more?, , What should I do when a partner is a drunkard and a lier?",587,1.0,0.0,1
Hivi Mpera ni dawa ya kuzuia mimba,344,1.0000001,-1.1920929e-07,1
If one is having sex with a person who has STI'S and her has protection can he get the infections,585,1.0000001,-1.1920929e-07,1
Je mnatafutia mtu partner,570,1.0000001,-1.1920929e-07,1
3,675,0.7002392,0.29976082,0
Is spotting a sign of pregnancy and what are signs of pregnancy,633,1.0,0.0,1
Naezafanya aje ndio my love anipende zaidi,569,1.0,0.0,1
How to deal with a toxic girlfriend,462,1.0000002,-2.3841858e-07,1
how to watching porn and masturbating,545,1.0000001,-1.1920929e-07,1
Ukitake p2 chances za kuget pregnant ni?,432,1.0000001,-1.1920929e-07,1
"Aky nimekua na stress ,ihave agour month baby and I had unprotected sex the next day nkachukia planB na nimekua na craps,na nilikua sijaona periods",562,1.0,0.0,1
is there any posibbility mtu kupata bol after umehave sex na atumie p2,390,1.0,0.0,1
Does one have to peak or orgasm to get pregnant?,351,1.0000001,-1.1920929e-07,1
How can a girl feel like she is sexual harassed,678,1.0,0.0,1
Long distance relationship hua zinawork?,447,1.0,0.0,1
How can one heal from a seven years. Relationship heart break,514,1.0000001,-1.1920929e-07,1
What cud be the problem when a girl has sex without protection and still don’t get pregnant?,639,1.0,0.0,1
How to avoid pregnancy,431,1.0,0.0,1
Nitoe 5k juu ya kuona dem wacha tu😂😂🫵(.is this a red flag I should watch out for?),510,1.0000001,-1.1920929e-07,1
Is it normal ku kua na desire ya ku have sex ukiwa on your periods,457,1.0000001,-1.1920929e-07,1
Am gay and i can't tell my parents. What should i do?,412,1.0000001,-1.1920929e-07,1
do you support Lesbianism and guy,644,1.0000001,-1.1920929e-07,1
How to have healthy sex,627,0.99999994,5.9604645e-08,1
"Wife wangu Ako lazy mbaya, kunifulia nguo inabidi ka nmemkumbusha,,, To make the matter worse yeye hukulia jikoni , me hukula peke yangu dining room,,, and our family is still young we have two kids, But ameniboo mbya Should I divorce",465,1.0,0.0,1
issue,441,1.0000001,-1.1920929e-07,1
Business gani naweza Anza campo,183,0.5479361,0.45206392,0
Yea,398,1.0000001,-1.1920929e-07,1
2023-11-15T07:26:02.066637Z,364,0.98819375,0.01180625,0
Yeast infection ni sti,361,1.0,0.0,1
"Im at that point where suddenly i dont have friends nabaki kwa nyumba whole day crying ,sleeping like nothing in my life is going well",538,1.0,0.0,1
2023-12-30T13:45:02.208912Z,364,0.9830169,0.016983092,0
P2 should be taken after how long,449,1.0,0.0,1
Should I reply to him?,607,1.0,0.0,1
Relationships,550,1.0000001,-1.1920929e-07,1
"Me ni mtu am confused, kama need of continuing with the journey of living with a man kwa nyumba, or stop it. And whenever I talk of living the guy get so hurt hadi anasema vitu zingine, can't imagine kumwacha afanye hivo. So like me navumilia tu, how will I cope up and change him to be the better version of the man I want?",590,1.0,0.0,1
𝚒𝚜 𝚒𝚝 𝚗𝚘𝚛𝚖𝚊𝚕 𝚏𝚘𝚛 𝚊𝚖𝚊𝚗 𝚝𝚘 𝚊𝚕𝚠𝚊𝚢𝚜 𝚊𝚜𝚔 𝚑𝚒𝚜 𝚜𝚎𝚡 𝚙𝚊𝚛𝚝𝚗𝚎𝚛 𝚝𝚘 𝚛𝚒𝚍𝚎 𝚘𝚗 𝚑𝚒𝚖 𝚜𝚒𝚗𝚌𝚎 𝚝𝚑𝚊𝚝𝚜 𝚝𝚑𝚎 𝚘𝚗𝚕𝚢 𝚠𝚊𝚢 𝚝𝚘 𝚜𝚊𝚝𝚒𝚜𝚏𝚢 𝚑𝚎𝚛 𝚊𝚜 𝚑𝚎𝚜 𝚠𝚎𝚊𝚔 𝚠𝚑𝚎𝚗 𝚑𝚎 𝚛𝚒𝚍𝚎𝚜,653,0.38901177,0.61098826,0
Which contraceptives are safest and birth control pills that won't have a later effect on someone,367,1.0000001,-1.1920929e-07,1
For how many hour mtu anafaa kua na pad??,357,1.0000001,-1.1920929e-07,1
What if you took an emergency pill within 24 hrs even when your ovulating,481,1.0,0.0,1
Msee akidai nguvu za kiume  ?,581,0.99999994,5.9604645e-08,1
2023-12-17T20:13:01.348355Z,364,0.9838247,0.01617533,0
2023-12-29T19:44:01.276623Z,364,0.9875078,0.01249218,0
"I have this guy I met almost 2years ago in 2020, we had not known each other at all we met at my cousins birthday… I had a crush on his friend(keep in mind I did not even talk to him) so I wanted to do something with the guy I had a crush on but then I ended up doing it with the guy I’m talking about…So after those 2 or so years we finally met during the new years(in 2020 we did not have sex… we just got sexual but not that sexual and we never talked after that) so during New Years we met and he kissed me and we danced and all..he told me to text him on IG I did he replied but hasn’t talked to me again… now I’m confused should I reach out again ama I respect myself???",383,1.0,0.0,1
Nauliza kama muneeza offer kuorganize to talk to a group of girls if i gather them,604,1.0,0.0,1
"Nilimove in na boyfriend yangu who happens to be my work mate, nafeel naboeka kuishi na yeye juu wazazi wake wanatueka pressure ya kuona na hatuna stable income. Nataka kumove out nitamuwmbia aje pia nafeel ni kama Ako emotionally abusive",392,1.0000001,-1.1920929e-07,1
How should I avoid sex intercourse im an addict,602,1.0000001,-1.1920929e-07,1
ni poa kusumbuana,529,1.0000001,-1.1920929e-07,1
3,675,0.7002393,0.2997607,0
Naeza ongea na any professional,557,1.0000001,-1.1920929e-07,1
Choices for safe sex,650,1.0,0.0,1
Naeza jua more of njia za kupangwa uzazi,575,1.0000001,-1.1920929e-07,1
2023-12-13T16:10:01.205278Z,364,0.98286825,0.017131746,0
2023-12-17T15:12:01.631377Z,364,0.9871008,0.01289922,0
Are there benefits to having anal sex?,395,1.0000001,-1.1920929e-07,1
Naweza mix pills zakumeza,512,1.0000001,-1.1920929e-07,1
so I'm 18 and I really wanna experience sex but I am afraid of breaking my virginity coz I had that the process is so painful..how can you advice me,568,1.0,0.0,1
Nataka kureduce boobs. Is it possible?,505,1.0,0.0,1
Una itwa ajee,403,1.0,0.0,1
Having sex sana iko na effect yoyote,686,1.0,0.0,1
Is sex good and why,396,1.0,0.0,1
lazima,53,0.50048316,0.49951684,0
Can a young man get married to an older woman with a kid,652,1.0000001,-1.1920929e-07,1
Of late my vagina imeshinda ikukua wet sana kuna shida,636,1.0,0.0,1
It's just about sex,612,1.0,0.0,1
2024-11-22T08:14:01.466788Z,364,0.9783856,0.021614373,0
Can I get pregnant nikiwa na implant?,657,1.0,0.0,1
What to do after sex ...like the aftercare...,402,1.0,0.0,1
Can one masturbate without watching pornographic content,580,1.0,0.0,1
self,409,1.0000001,-1.1920929e-07,0
Uko aje,442,1.0000001,-1.1920929e-07,1
Okay so sijui sexuality yangu vizuri but I'm a girl and I think I'm in love with a girl,382,1.0,0.0,1
How can I deal with my loneliness and feeling left out,618,1.0,0.0,1
Nkona mpoa... I am supposed to be going job next year.. job ya majuu I really love my man .... we discussed about it akadai mih nifocus na dream yangu .... is he real ama si mse mfitti... ?? Ama ananiambia niende ndo apate dem mwingine?,606,1.0000001,-1.1920929e-07,1
Like i have a boyfriend na nikikosa ku have sex na yeye ana jam what should i do,384,1.0,0.0,1
2023-10-19T16:02:01.449269Z,364,0.98773855,0.01226145,0
Nataka quiz test,270,0.470611,0.529389,0
Types of sex styles,522,1.0,0.0,1
This is for what suarly,583,1.0000001,-1.1920929e-07,1
