test_text,retrieval_id,cos_sim,cos_distance,label
I want to know about growth in Breast,56,0.3278,0.67219996,1
2023-12-15T13:18:01.218657Z,188,0.27731663,0.72268337,0
How old are u,9,0.45616376,0.54383624,0
Implantation blood hutoka after how long,52,0.5521625,0.44783747,1
Why would a man ask me to take medicine before sex that is harmful,122,0.44484973,0.5551503,1
2023-12-17T20:13:01.348355Z,188,0.25672475,0.7432753,0
How do you let go of someone who you still love soo much yet you know at some point he did you wrong but he still comes back?,166,0.3400348,0.65996516,1
Na hii wazii ina maanisha nn,270,0.6613708,0.3386292,1
It's just about sex,87,0.44784734,0.55215263,1
Is virginity necessary for a happy marriage?,243,0.4984914,0.5015086,1
My bestfriend is suicidal. I don't know what to do,98,0.32515517,0.67484486,1
Kwanini time nahave  sex  penis huumia na unapata sometimes ngozi  inakwaruzwa  na hata pengine kutoka?,215,0.7400775,0.2599225,1
"After having unprotected sex, with what time should one take P2?",320,0.52691036,0.47308964,1
"If your doing sex then you released outside in the first round, the second round you released insidd can the girl conseave or pregnate",289,0.5231448,0.47685522,1
2023-12-01T11:50:01.442484Z,125,0.31189114,0.68810886,0
What should I do coz I'm very thirsty 4 smashing,290,0.36736313,0.6326369,1
I just want to learn about contraceptives,210,0.6196789,0.3803211,1
My beb ni kama ananicheat aki ntajua aje,350,0.7090173,0.29098272,1
Kwani Kuna periods zinaenda for 30 days because unasema ati kama longest cycle yangu ni 30 days...azin I can't get it well,221,0.61460984,0.38539016,1
Is it good to have sex n condom for a first timer,111,0.56449705,0.43550295,1
I was asking if u wazii... help one to find a job,80,0.45296422,0.5470358,0
Viagra hutake how long uki have sex ukimeza full medicine,269,0.4993042,0.5006958,1
For how many hour mtu anafaa kua na pad??,143,0.48736054,0.51263946,1
Naeza Fanya aje kudeal na toxic environment from my parents,258,0.47906157,0.5209384,1
What causes ectopic pregnancy,360,0.36615592,0.6338441,1
2024-10-21T20:26:01.342790Z,125,0.27561015,0.72438985,0
Nitoe 5k juu ya kuona dem wacha tu😂😂🫵(.is this a red flag I should watch out for?),286,0.5006358,0.4993642,1
I'd like to know more about the coil,81,0.4551684,0.54483163,1
I have fallen in love with someone... And soon is planning to go abroad... My partner promise to vone back for me and that stuff... I dont know if i should continue with the relationship or quit,74,0.46719486,0.53280514,1
Is it normal ku kua na desire ya ku have sex ukiwa on your periods,171,0.6495522,0.35044777,1
Like can I have some of the conversation starters when someone is shy,275,0.41035604,0.58964396,1
Hello,316,0.33362556,0.66637444,1
Hivi Mpera ni dawa ya kuzuia mimba,302,0.69278985,0.30721015,1
How do you work and what type offer do you give out,353,0.2760079,0.7239921,1
I had an anxiety attack today.. nmeanza tu kulia non-stop na nlikuwa nashake for no reason... I mentally sick,156,0.46453038,0.53546965,1
Being in love with a married man,18,0.38193214,0.61806786,1
Yup!,188,0.25787956,0.74212044,0
ni poa kusumbuana,348,0.69267035,0.30732965,1
Why do I eat tissue too much I mean tishu ya choo😭 am serious btw i do eat and swallow,61,0.38030002,0.61969995,1
Does a girls Virgina gets wet before sex,39,0.64733356,0.35266644,1
I was asking about relationship yunno mimi ni introvert na unajua how tunakuwanga so like I needed some advice on how to start a relationship with someone hope unaniget,128,0.5392976,0.46070242,1
Mtu anaeza beba mimba ya watu wawili,89,0.68928254,0.31071746,1
2023-12-22T15:18:01.271911Z,125,0.26670498,0.733295,0
Which style is most suitable for first time sex,325,0.4535029,0.5464971,1
Ok let's say I am addicted to masturbation then  nimeacha. Nikihave sex namwaga haraka because of effects za masturbation. Is there any way I can improve in sex performance ama hiyo effects ni permanent??,220,0.5178587,0.48214132,1
Where can I get counselling services at a cheap price,321,0.2742472,0.72575283,1
I know it's weird but aki mnihelp nipate job,353,0.5798435,0.42015648,0
i took 3 month depo provera family planning injection then amonth later nikaanza kupata some irregular heartbeats are they related in any way can it be the root cause,267,0.40073162,0.5992684,1
Why didn't i receive any response,298,0.24890234,0.7510977,0
"I have irregular periods,so this time I started and they stopped the same day but bado cramps zilikuwa then nikakaa for like one day halafu ikaanza tena but in a more painful way ,is it normal?",171,0.5829573,0.41704267,1
Ok so I went to see my boyfriend while on my sec day of my period and we had sex but my period still continued and ended .....could I still get pregnant ?,103,0.4475711,0.5524289,1
Is it bad for being a virgin,243,0.560134,0.439866,1
Can p2 fail,355,0.40105385,0.59894615,1
So apparently nikona shida na sijai pata solution uncle yangu alinislap akanipiga ju nilienda Ku visit my divorced father ju waliachananga na mum namwonanga naskia apana sjai msamehea ju si rahisi nidoo,369,0.60533667,0.39466333,1
Can the breast be of the sama size,56,0.32719237,0.67280763,1
Sasa nko na mamaa na ameniitia mechi kesho usiku...na amesema she needs a good game Sasa apa kwa good game ndo najiuliza how good is a game?,104,0.47448745,0.5255126,1
Why cant you send small videos that i see you guys posting on Facebook,10,0.26261038,0.7373896,1
Sawa so a guy had unprotected sex with me two weeks ago i felt pain son we stopped almost immediately and he didn't finish at all now im 5 days late for my period what should i do and i have a boil on my vagina that came 2 days ago,47,0.49696377,0.50303626,1
How can  I know my love language,235,0.44512302,0.554877,1
One of my frnds told me tht at her pleasure she feels pain in her genital bt I don't know to tell her,263,0.51684374,0.48315626,1
Can I find a partner here,236,0.41350213,0.5864979,0
Two weeks after sex can emergency pills work,192,0.5328463,0.46715373,1
Yup!,188,0.25787956,0.74212044,0
Naeza pata namba za save for save,160,0.5494407,0.45055932,1
Right time ya kuget into a relationship,178,0.60029036,0.39970964,1
3,309,0.3586925,0.6413075,0
"Am lazy ,I feel tired and am worried juu ndio naanza semester like nataka kukua energetic....unaeza nipea tips",143,0.48301417,0.51698583,1
How can I fix my relationship after entertaining another man in my life,178,0.40228647,0.59771353,1
Who is the head of the family,351,0.23885475,0.76114523,1
How to prevent pregnancy as a man,7,0.5824624,0.41753763,1
I have a bad oduor kwa vagina,24,0.5379595,0.46204048,1
I have some kind of symptoms na sijui kama inaweza kuwa ni STI ama UTI,231,0.5470226,0.45297742,1
Sex inaezafanywa na mtu yeyote.l mean  hata under 18,161,0.68730974,0.31269026,1
Wat n wen r safe days 4 a woman,195,0.48311955,0.51688045,1
Nimekuwa na periods from 6th oct until date na nimeenda hosi nikapewa dawa na haziishi,376,0.6376683,0.3623317,1
2023-11-27T15:58:01.695843Z,125,0.2758629,0.72413707,0
So nataka kuuliza kama wazzii can explain STI's to me,51,0.5814542,0.41854578,1
"So my period is 25 days late. It's never late. My cycle ranges from 28 to 34 days., I did the urine and blood test for pregnancy and they were both negative. What could be the problem?",207,0.36926684,0.63073313,1
Kuna shida if you boyfriend anakuweka kidole wakati mna make out?,62,0.66359556,0.33640444,1
2024-05-09T19:07:01.222357Z,376,0.27639928,0.72360075,0
2024-02-26T15:15:01.373577Z,351,0.27238578,0.7276142,0
How someone knows if he or she is a sex addict,174,0.5121383,0.4878617,1
Like i have a boyfriend na nikikosa ku have sex na yeye ana jam what should i do,43,0.60668933,0.39331067,1
"I love having sex alot,,could that be a problem,,advice",180,0.5171416,0.48285842,1
Can I get pregnant when I have sex during my period time,7,0.36658043,0.6334196,1
2024-01-02T19:23:01.401545Z,188,0.25265044,0.74734956,0
I experience itchiness and an awkward discharge after my periods it's quite uncomfortable,102,0.51385385,0.48614615,1
What are the causes of miscarriage,253,0.48666984,0.51333016,1
2024-01-31T10:17:01.412249Z,125,0.3176026,0.68239737,0
"I produce a smelly discharge,,what can be the problem",6,0.5047346,0.49526542,1
Nataka kureduce boobs. Is it possible?,24,0.46907958,0.5309204,1
Are the contraceptives really good for one who haven't given birth yetm,223,0.53603363,0.46396637,1
How can I know if my partner loves me,174,0.4478342,0.5521658,1
How do I calculate my safe days yet I have irregular periods just to be safe when having sex with my partner,195,0.49124986,0.50875014,1
"All my mates wakona boyfriend na girlfriend,while, Am still single.I can't bare, The feeling.wat should I do?",166,0.4508783,0.54912174,1
Yup!,188,0.25787956,0.74212044,0
due,148,0.29557803,0.704422,0
"Mtu anaweza toa mimba ya miezi nne kwa kutumia njia gani?, isipokuwa dawa...",214,0.6906268,0.3093732,1
"What do you do when you feel like everyone doesn't want you in your life... starting from your parents,friends and even boyfriend?",98,0.34323958,0.65676045,1
by,113,0.24899435,0.75100565,0
After sex mbona uki Kaa sana unafeel pain Kwa mgongo,47,0.6456799,0.3543201,1
Zi!,188,0.48817837,0.5118216,0
"Ok mm during sex I just wet for minutes after that I get dry completely,na it ends up kukua painful kwangu ,am I ok? naogopa kuenda hoc",215,0.59293514,0.40706486,1
2023-12-31T21:19:01.120699Z,125,0.25081563,0.74918437,0
Waxing or shaving?,87,0.25109738,0.7489026,1
Una itwa ajee,372,0.4688202,0.5311798,1
I'm I really supposed to feel insecure after hanging out with a guy whom is not classed as my boyfriend .... then realize that he is known to many ladies,166,0.3218319,0.67816806,1
so I'm 18 and I really wanna experience sex but I am afraid of breaking my virginity coz I had that the process is so painful..how can you advice me,124,0.64698696,0.35301304,1
2023-12-29T07:04:01.741988Z,188,0.2528215,0.7471785,0
2023-10-18T19:10:01.653596Z,188,0.27255443,0.7274456,0
Can I have sex while having this severe pain while urination,126,0.564533,0.435467,1
How should I avoid sex intercourse im an addict,201,0.5147805,0.48521948,1
is there any posibbility mtu kupata bol after umehave sex na atumie p2,144,0.5878897,0.41211033,1
Relationships,95,0.53326374,0.46673626,1
"Dem akiweka depo, inaeza cause UTI",363,0.51692224,0.48307776,1
I had unprotected sex na najishuku Niko mimba😭....bt cjaona signs zote za pregnancy...am just stressed out...pliz help,158,0.62787706,0.37212294,1
How does someone get confidence and be sexually active after worst experience in relationships that made her not to like sex,155,0.41854087,0.58145916,1
Niko na pimples Kwa groin hair na inatoka puss iyo ni stl😭,92,0.50642216,0.49357784,1
Is it normal to have pain cramps after period and blood spotting?,162,0.5976958,0.40230417,1
Mbona kijana hawezi kaa  bila dem,270,0.68079716,0.31920284,1
2023-12-13T16:10:01.205278Z,125,0.25709003,0.74290997,0
If one is having sex with a person who has STI'S and her has protection can he get the infections,263,0.54801726,0.45198274,1
What are the earliest signs of STIS,263,0.50033915,0.49966085,1
3,309,0.35869244,0.6413076,0
Utajua aje manzi ananyesha,368,0.6439838,0.35601622,1
Periods zangu hazikam vizuri,376,0.7483107,0.2516893,1
Having sex sana iko na effect yoyote,47,0.6267903,0.3732097,1
How to have healthy sex,122,0.54072016,0.45927984,1
How can I get twins,168,0.32506135,0.6749387,1
by,113,0.24899435,0.75100565,0
Which contraceptives are safest and birth control pills that won't have a later effect on someone,223,0.5683238,0.4316762,1
When should someone do a raw sex na asipate ball,320,0.58738065,0.41261935,1
"I have this guy I met almost 2years ago in 2020, we had not known each other at all we met at my cousins birthday… I had a crush on his friend(keep in mind I did not even talk to him) so I wanted to do something with the guy I had a crush on but then I ended up doing it with the guy I’m talking about…So after those 2 or so years we finally met during the new years(in 2020 we did not have sex… we just got sexual but not that sexual and we never talked after that) so during New Years we met and he kissed me and we danced and all..he told me to text him on IG I did he replied but hasn’t talked to me again… now I’m confused should I reach out again ama I respect myself???",34,0.29645717,0.7035428,1
"I have this guy we have known each other for a month now we have been friends lakini apparently we have fallen in love he tells me how he loves me 😍 and from his actions I am truly telling how much he loves me , He has went ahead and introduced me to his parents through a phone call with the saying that hataki kunidate na sijui wazazi wake, The guy stays in Nairobi me I stay in eldoret we have never meet we meet online and we became friends and we loved each other, He helps me whenever I need help he calls me on video calls and even on normal calls , I can tell we have bonded alot were now getting two months since, He is 24 am 20 please advice me here",377,0.46061444,0.53938556,1
Long distance relationship hua zinawork?,31,0.68667024,0.31332976,1
2024-01-07T06:23:03.698327Z,188,0.27901587,0.7209841,0
self,113,0.353168,0.646832,0
Ni poa ku have sex,323,0.7741653,0.22583473,1
"I have this recurring signs ,,, itching kwa vagina na thick white discharge that stick on the vaginal walls,,,it comes and goes after sometime,,,huwa inarudi like after two months",6,0.64018613,0.35981387,1
Naeza ongea na any professional,89,0.50602496,0.49397504,1
"I need to start family planning which one is the best and second , 2 if someone has never gave birth can you use family planning",288,0.45061812,0.54938185,1
Why do I experience lower abdominal pains,162,0.5110294,0.48897058,1
Is anal sex healthy?,263,0.4360166,0.56398344,1
2023-09-22T14:14:01.376747Z,376,0.25295338,0.7470466,0
unakuwaka wp,284,0.5310791,0.4689209,0
2023-12-14T17:44:01.360647Z,188,0.2651105,0.7348895,0
Dem wangu ananicheat,55,0.5606724,0.4393276,1
2024-11-22T08:14:01.466788Z,125,0.26693425,0.7330657,0
2024-04-25T10:29:01.443805Z,125,0.3013864,0.69861364,0
I have a question periods zangu zimemiss hii month but cjakuwa na penetrative sex the last thing we did was dry humping with my man can I get pregnant for I am really worried about it.,208,0.5955918,0.40440822,1
"Okay, it's about friendships. Do you think it's okay if your friend always tells you openly of how people don't like you or how other people think you're ugly?",98,0.31734842,0.6826516,1
3,309,0.3586925,0.6413075,0
"Kàma umepatana na boyfriend online na hamjawai meet bt huwa mnabonga through video calls then he tells you that anakupenda ntajuaje?  Secondly he needs you to trust him,,,how should I do or know about him?",260,0.536736,0.463264,1
"I like my partner a lot but then I feel like am not ready to break my virginity am a little afraid of letting it go but my partner really want us to make out and when I tell him how I feel he says that it's just impossible to love him and not make love to him , Wazzi I want to but am just afraid of loosing my virginity rn what should I do ?",124,0.5048305,0.49516952,1
Business gani naweza Anza campo,160,0.4766947,0.5233053,0
Well i was told most contraceptives most huaffect body Like bleeding  Back pains Adding weight  Like how will I know the best one for me even though have tried the coil method and UID,187,0.54137933,0.45862067,1
What to do after sex ...like the aftercare...,222,0.5037438,0.49625617,1
This is for what suarly,69,0.24924776,0.7507522,1
How to avoid pregnancy,19,0.62752444,0.37247556,1
"AM 21old,and my girlfriend she 23old,so my question is..Does this will work realy?",31,0.30679214,0.69320786,1
Does social distancing cause poor relationship?,295,0.44013858,0.5598614,1
"Thank you 💯, , I understand one of the reasons he can't commit into a relationship is because of our religious differences, and the fact that if my parent ever caught us, things will get messy for both of us. But am willing to try and see how it'll be if we would date., , Stuck between two decisions, keeping things as they are, like we're kinda dating it's just that the 'relationship' name is not present, or calling it off because of his reasons that I don't agree with..., , Any advice?",34,0.3134737,0.6865263,1
How many types of pussy do you have on your data,336,0.39919764,0.60080236,1
P2 should be taken after how long,16,0.38794148,0.6120585,1
2024-08-28T12:33:01.347638Z,125,0.2739304,0.72606957,0
2023-11-15T21:21:01.806112Z,188,0.27195856,0.7280414,0
Why do I feel that relationship's are boring,178,0.4808452,0.5191548,1
Request online chat,227,0.39150396,0.60849607,1
Is it okay mtu kutokuwa na girlfriend for 8years,74,0.5918968,0.40810323,1
Lend me with ten thousand I pay fees for my brother and pay house and buy something to eat I'll refund back please and God will bless you please,80,0.26293138,0.73706865,0
Like every time I go to the washroom on a longcal it really get so itchy what might be the cause,6,0.3429422,0.65705776,1
What is the Best age to loose virginity,9,0.70639706,0.29360294,1
Am addicted to masturbation sasa,117,0.46574286,0.5342572,1
My question is i have being engaging in unprotected sex for about 5 months with my man and all this while amekua akimwaga ndani like am supposed to be pregnant yet am not concieving ...nime move in na yeye and we engage in sex almost daily but still sipati ball ......mimi badw nanyesha kila mwezi .....am wondering what  may be the problem with me,57,0.61532986,0.38467014,1
Ok,188,0.2914234,0.70857656,0
Some nasty texts that I can send to my boyfriend and turn him on immediately,238,0.29243153,0.70756847,1
Is arbotion safe?,167,0.25044203,0.749558,1
I have my friend to whom I want to help anotoka fluids za white inform of something imeganda,343,0.39898893,0.60101104,1
What about nikikunywa maji after sex,43,0.6796171,0.3203829,1
"So I've been talking to this guy for some time now..tumeenda date moja na nafeel that through our communication, aspect ya intimacy inacome up sana...na feel scared kuenulge kwa anything, juu siko comfortable sana na my own skin..kuna pressures mingi kutoka my friends, convo mingi ni kuhusu intimacy na I feel like I'm weird or something is wrong",274,0.6413685,0.3586315,1
my siz told me today that in school walikuwa wanapewa punishment cause most of them walicopy and mwalimu aliwauliza kama alicopy but yeye hakujibu akabaki kama ameketi then class ikasema eti yeye alicopy and it was true but she defended herself then class teacher akamuambia aende Kwa principal office but hakuenda alidhani ni obvious jokes za teacher she is asking for an opinion and what she would do?,343,0.5717937,0.42820632,1
"I broke up with my girlfriend a year ago and I need her back,  but she keeps on reminding me how I broke her heart. So she always refuses to forgive me for that past and she has already moved on.. what should I do to get her back cause I can't stop thinking of her every night 🥹",83,0.25058946,0.7494105,1
"Heyy, my name is Gloria.  I have been celibate since last year june. For the first time ever,my periods are 4 days late. What could be the reason? I have genuinely been celibate and I don't even know what could be the reason. What should I do?",102,0.45030633,0.5496937,1
Please help me am in depression naskia nimefika mwisho,349,0.57489103,0.42510897,1
Can I ask now,188,0.27321717,0.7267828,1
What happens when I take emergency pills three times within a one week?,16,0.4777328,0.5222672,1
After how long should one engange in sex after dating someone for a week,320,0.48061633,0.51938367,1
How can one del with a hearbreak,44,0.27243713,0.7275629,1
Have been dealing with hormonal imbalance and irregular periods my question is how to balance my hormones na periods ziwe regular,281,0.5240456,0.4759544,1
2023-11-22T21:44:02.325558Z,125,0.27968907,0.7203109,0
"Hello,..I need your advise,..I have never had sex with anyone and am currently single but when I am in a relationship I do foreplay with my partner like kissing, caressing but no fingering and penetration....I am not ready to have sex yet but sometimes when am single I masturbate sometimes once in a while because am human I get horny sometimes,...is it bad to do so?",241,0.488555,0.511445,1
2023-10-19T16:02:01.449269Z,367,0.2398278,0.7601722,0
3,309,0.3586925,0.6413075,0
"Me ni mtu am confused, kama need of continuing with the journey of living with a man kwa nyumba, or stop it. And whenever I talk of living the guy get so hurt hadi anasema vitu zingine, can't imagine kumwacha afanye hivo. So like me navumilia tu, how will I cope up and change him to be the better version of the man I want?",72,0.6168366,0.3831634,1
6,309,0.2586948,0.74130523,0
One of my b**bs feels a bit harder than the other one...is it a matter of concern😔😔😔,178,0.3252353,0.6747647,1
I want to know people,380,0.3838929,0.6161071,1
2023-10-15T18:45:01.481822Z,188,0.28666803,0.71333194,0
How can I release an air ball during sex,50,0.49778718,0.5022128,1
Do ladies also get horny,39,0.38415104,0.61584896,1
Biology question,361,0.28002158,0.71997845,0
Naeza do nini to keep our conversation going with my boo,340,0.5306747,0.4693253,1
How to control if in need of a girlfriend 💕,155,0.43468487,0.5653151,1
Am in a relationship where tuko wawili but the other girl is outside the country and she is coming back after 20 years and the boy alimchoose coz the girl used to send him money and at the same time the boy tells me he lives me that he loves both of us and the friend to the boy told just to chill aty dem akue akituma doh tukule i don't know if the boy loves me or he loves the other girl coz he doesn't want me to move on he also told me that ako na haja na hii maisha yangu hapa mbele,141,0.5596453,0.4403547,1
"So,yk around this age most ladies wako sexually active. I was wondering if it is okay for one to use any contraceptives and if so which is the best option that won't have later effects on my body?",177,0.70357656,0.29642344,1
1,364,0.27641204,0.723588,0
𝚒𝚜 𝚒𝚝 𝚗𝚘𝚛𝚖𝚊𝚕 𝚏𝚘𝚛 𝚊𝚖𝚊𝚗 𝚝𝚘 𝚊𝚕𝚠𝚊𝚢𝚜 𝚊𝚜𝚔 𝚑𝚒𝚜 𝚜𝚎𝚡 𝚙𝚊𝚛𝚝𝚗𝚎𝚛 𝚝𝚘 𝚛𝚒𝚍𝚎 𝚘𝚗 𝚑𝚒𝚖 𝚜𝚒𝚗𝚌𝚎 𝚝𝚑𝚊𝚝𝚜 𝚝𝚑𝚎 𝚘𝚗𝚕𝚢 𝚠𝚊𝚢 𝚝𝚘 𝚜𝚊𝚝𝚒𝚜𝚏𝚢 𝚑𝚎𝚛 𝚊𝚜 𝚑𝚎𝚜 𝚠𝚎𝚊𝚔 𝚠𝚑𝚎𝚗 𝚑𝚎 𝚛𝚒𝚍𝚎𝚜,13,0.3939259,0.6060741,0
How can i treat cramps during my period?,162,0.6492699,0.35073012,1
Are there benefits to having anal sex?,263,0.41313905,0.58686095,1
by,113,0.24899435,0.75100565,0
"I wanted to ask ,,,, If I did a mistake on getting pregnant without informing my boyfriend",328,0.49383202,0.506168,1
issue,37,0.30121142,0.6987886,0
I have a lot of cramps during mensuration na nimetumie madawa na haziwork ...shida ni nini,278,0.5484653,0.4515347,1
Mtu anaweza Fanya Nini  asikue depressed,349,0.6721141,0.32788593,1
Hello last month periods zangu zilikam kama clot like vitu zimeshikana so I was wondering if that's normal,90,0.6692061,0.33079392,1
2023-12-03T04:46:01.604267Z,188,0.27329788,0.7267021,0
What if you took an emergency pill within 24 hrs even when your ovulating,285,0.56078297,0.43921703,1
2023-12-17T15:12:01.631377Z,376,0.26816896,0.7318311,0
I feel gayish from childhood but never explored it anyhow....I got a girlfriend but it's like am forcing myself to have one... I see my fellow man's thighs and chest I naturally erect...I've tried assuming my emotions over the years coz I don't want to accept being gay but the emotions are overcoming me and I feel tempted to give it a try....plizzz help,117,0.42171317,0.5782868,1
I slept with my bofriend on my last safe day period and can i get pregnant,103,0.46519646,0.5348035,1
Ukitake p2 chances za kuget pregnant ni?,49,0.5748554,0.4251446,1
2023-10-22T10:43:01.510549Z,125,0.3088335,0.6911665,0
"So I'm an 18 years old Virgini, Na nataka kuhave sex for the first time, , Any tips please?",124,0.6363323,0.36366773,1
Kuna watu hawapatangi pleasure from sex?,236,0.684856,0.315144,1
"Nafaa kuwa na Nini kwa pack yangu before nionyeshe,, especially if periods zangu hazina any signs",158,0.68307024,0.31692976,1
"Wife wangu Ako lazy mbaya, kunifulia nguo inabidi ka nmemkumbusha,,, To make the matter worse yeye hukulia jikoni , me hukula peke yangu dining room,,, and our family is still young we have two kids, But ameniboo mbya Should I divorce",371,0.5771337,0.42286628,1
Can I get pregnant nikiwa na implant?,314,0.69981897,0.30018103,1
Where can I get sugar mommy,318,0.2890603,0.7109397,0
How to make sure that I do not have the negative feelings after sex,241,0.5487891,0.45121092,1
self,113,0.353168,0.646832,1
2023-11-15T20:55:01.180614Z,125,0.2771848,0.72281516,0
"I have a girlfriend and she is 1month pregnant so I was asking what am I supposed to be doing or what is she supposed to be doing as from now ,,cause its our first child...??",360,0.47038564,0.5296143,1
Mbona breast moja huwa biggy than the other,364,0.5401439,0.4598561,1
2024-01-30T14:42:01.864904Z,125,0.3142696,0.6857304,0
Bytheway naongea n nn plzz,270,0.5450084,0.45499158,1
What does discharge ya yellow and look more like a york indicate bt it is not smelly,6,0.56029534,0.43970466,1
How can I get a girl .......since I have never  approach any,380,0.35701954,0.64298046,1
Kuna venye being not circumcised affect mseee when smashing😂,47,0.48825166,0.5117483,1
How can a girl feel like she is sexual harassed,155,0.37223452,0.6277655,1
"Kwa relationship,like a marriage,ukioa mdem mwenye anakuzidi salary, like for example,anaearn 100k na we as a man of the house unapata 60k,how is your view about that, like who is now the end of the family hapo",114,0.55487025,0.44512975,0
Is preventing ku cum fast possible after masturbating for a long time?,175,0.5626461,0.4373539,1
3,309,0.3586925,0.6413075,0
"so kuna this guy i really like na he says he likes me too lakini hanipei attention,alafu ni kama hataki kuonekana na mimi,,,sasa what should I do?",377,0.53955996,0.46044004,1
What are the early signs of pregnancy,360,0.4940176,0.5059824,1
"My perineum inawasha na a smelly discharge inatoka, Nimemeza antibiotics mob sana na pia injections but haiishi",6,0.57368696,0.42631304,1
3,309,0.35869244,0.6413076,0
Is it true that one can fail to enjoy vaginal sex...?and what could be the reason behind it? What's the solution,39,0.50123894,0.49876106,1
2023-12-28T08:58:01.147779Z,125,0.25980213,0.7401979,1
how to watching porn and masturbating,133,0.43693763,0.56306237,1
"I would like to get on contraceptives Ile injection ya 3 months, what are the possible side effects",199,0.62455404,0.37544596,1
What are the side effects of depo,199,0.48943406,0.51056594,1
I have a boyfriend who is a bit far .... I feel so insecure,34,0.34155652,0.65844345,1
How can I make my love relationship healthy and going,136,0.5357132,0.4642868,1
How can I confirm one week pregnant,103,0.54318976,0.45681024,1
Mse anafaa kutake pills each time anahave sex ama Iko na limits per month?,16,0.5841215,0.41587847,1
Ok there's this boy who claims he likes me but am not so sure if he loves and he wants to have sex with me,243,0.40146625,0.59853375,1
How can I deal with my loneliness and feeling left out,166,0.40019366,0.5998063,1
Yea,188,0.2868569,0.7131431,1
