col0,col1,col2
,,
,,
Ask Me Anything,"*Niko na clots mob kwa periods zangu, ni normal?*","Super normal! Yho, najua inaeza kufreak out ukiget clots but please know that they're just a thicker part of your menstrual flow. Ni blood na tissue yenye inacome from our uterus. Kunaeza kua na more of it during parts za period yako and then inaeza settle and be a little looser this is also okay 🩸

A really good thing to do? Track symptoms zako! You can use the OKY app to do this. That way, ukiget worried that unaclot too much, unaezabonga na a health professional so they can check if the clots are still normal. 
You've got this, lil sis! Would you like to learn a little more about this?"
,,
Ask Me Anything,*Me hufeel embarrassed to talk about my period to others.*,"Gurrl I get that ❤️ So many of us were raised kufeel dhidhi about period zetu. A lot of people find it embarrassing and something to hide. But we're the generation that's done with that shame, right? 😉

Let's get some period pride in here! 🩸 Kuna countries ata zinakuanga na parades na celebrations mzima for periods! Becasue our periods are noooormal, they're another part of life. The more you talk about them, the easier it gets.

No need kufeel shy about them, but remember - it's your choice! You don't have to share about anything you wanna keep to yourself.  Your body = your rules.
Keen for more info on this?"
,,
,,
Ask Me Anything,*Natural methods za contraception ni kama?*,"Nalove hii Q! Ni poa kujua what options are available to us when we're thinking about having sex 🌺 When people plan their sexual activity kuavoid their ovulation period, iyo huitwa the natural method. Juu hutumii any sort of condoms or hormonal contraception to avoid pregnancy.

""Form ya contraception yenye utachoose kuuse ALWAYS ni your choice! 

But you know I have to give you the facts. 
Natural methods hazikuangi as effective as contraception. The body isn't perfect, it doesn't always work the same, so you could still fall pregnant during your non-ovulation days. Sperm can stay alive and kicking in the uterus for up to 5 days🤯 Plus natural methods hazikuprotect from STIs including HIV😬""

Wanna get more deets about contraception?"
,,
,,
Ask Me Anything,*Mtu anaeza jua niko on my period?*,"""Oooohh, warembo wengi huask hii question and I get exactly why... Wengi wetu tumeambiwa that periods ni unclean, so inaeza make tukue V nervous about if other people can tell if it's happening or not... 🩸

Quick answer: NOPE!""

Long answer? No one, unless umewashow or maybe wanajua how your cycle works (think of maybe your siblings or maybe people you live with), hawaezi jua for sure kama uko on your period 💪Okay, maybe your bestie who knows that you crave chocolate when it happens 😂 But other people? They can't sniff you out, they can't tell by just looking at you - no matter what anyone says, mmkay?

One lil piece of advice from me, as usual, if you're comfy enough - tell someone close to you about your cycle. Especially if you have someone to talk to who also menstruates and can share experiences with. It always helps to have someone in your corner ❤️"
,,
Ask Me Anything,Ni possible kuwa na ball na bado unyeshe?,"Good question, lil sis ❤️ Actually, ni normal kuget light spotting ata ukiwa pregos. I know, I know, annoying, right? Inaeza kuwa confusing ikihappen so jitrust, boo! If you feel like soemthing isn't right, see a doctor or a health professional akuhelp out. 

Babes, usijistress out ukiobsess over pregnancy symptoms ngapi zinakuanga, okay? It can get SO confusing 😖 You know what I always say, it's best to get a test or go to a clinic so a professional can confirm for you. That way, no surprises! 

Wanna get more detail on where I'd go if I were you, babes? "
,,
Ask Me Anything,*Nitajua niko na ball how soon after nihave unprotected sex?*,"""Yaas! Najua so many people wenye wanaezakua too nervous to ask this - power to you, mresh! 

Let's get into, okay?Itabidi uipatie around 6 - 12 days ndio ustart kucheki signs za pregnancy after an egg imekua fertilised. Around that time,  utaget a little bit of spotting, ina look like a period but less flow na a lighter colour 🩸 But that doesn't always mean you're pregnant FOR REALS.""

You know vile mi husema, the best way to confirm kama uko na ball ni kuget a test at a pharmacy or healthcare centre. So breathe, baby girl, you've got this. 
""Kama uko worried about pregnancy, the most important thing for you to know ni...use a condom Every. Single. Time. 

Wanna keep talking about this?"""
,,
Ask Me Anything,*Naezaget STIs from having oral sex?*,"""Yoh! Wasee wengi huthink that if you aren't having vaginal sex, uko safe. Lakini babes, listen carefully... DASSS A LIE. Any form of sex where you don't use a condom puts you at risk for Sexually Transmitted Infections (STI). 

Giving and receiving oral sex is actually the most common way that STIs are transmitted so stay safe, babes ❣️""
The most common STIs unaezaget from oral sex include gonorrhoea, syphilis, chlamydia and genital herpes. So even if uko na only one partner ni important to always condomise, and obviously, kua na more than one partner inaraise your risk. 

Do best for yourself, use a condom or dental dam kila time. (Quick tip, because you know I've got your back: if you don't have a dental dam, unaeza use a flavoured condom! Cut the top off and split it down the middle and you're good to go 😉) Check out your closest clinic, they give condoms away for free 😃 And I know we all love free things. "
,,
Ask Me Anything,*Naezaget contraception wapi?*,"Look at you making big moves ❤️Purrr! Ni fiti that unataka kudo more to feel good, healthy and in control when having sex. Kitu amazing ni that there are so many options for us! Each of the different ones ziko na pros and cons na inaeza take some time for you to find the one that's right for you.

You know what's coming next? Yup! Speak to a health professional, boo. They can chat to you about your options.📞

Kitu nalove ni ati kuna so many different places unaezaget your contraceptives! Pharmacies, your doctor, health clinics, Maries Stopes - you name it!
You've got this! Would you like to learn a little more about this?"
,,
Ask Me Anything,*Ni possible ukiwa HIV positive na utake ARVs for a few years that results zako zinaeza come back negative?*,"So proud of you for asking this. Uko on the right track. Ni possible kabisa! Ata ukiwa HIV+ test yako inaeza come back as negative, this means viral load yako imekua so low it's undetectable. So ata test haiezi ipick up. Usually, ni juu unatake your ART (Antiretroviral treatment), that's used to keep your viral load as low as possible) and inawork well💪

BUT... hio haimean you no longer have HIV. ARVs zinahelp to keep you healthy, yes, but bado hakuna cure for HIV. It isn't reversible. Actually, ukistop kutake ARVs zako, test zako zinaeza come back positive.
""Test, test, test! At least once a year, okay ❤️ 

Would you like to learn a little more about this?"""
,,
Sex Basics,Sex ni nini btw?,"""Wadau hucome huku wakishangaa sex ni nini...🤔
Ni crazy vile ka-three letter word kanaweza feel so big...""

""The thing is @contact.name, the word 'sex' matym haikuangi clear juu inaweza mean so many things🤯                ""

So WAZZII is here kuku-give enough info ndio ujue nini inago-on na vile uta-talk about it

Inaweza feel kama sex ni only when penis🍆 inaingia the 🌺vagina
But hio si the only thing sex inaweza mean! Let's talk about it...""""
""""The penis 🍆 ni male sex organ. Ina-release sperm during ejaculation. (Pia ndio inatumika kunyora but don't worry, hai-happen at the same time!😂)

Iko attached to the scrotum, (aka the balls). Scrotum ndio imeshikilia tesitcles zenye zimebeba sperms & hormones.""""
The vagina🌺ni female sex organ. Ni part inakaa kama tube iko tucked ndani ya body na iko covered na labia (🌺vaginal lips) which is part of the vulva.
🌺Vulva ni genital parts zote zile ziko outside of the body, kama the labia (🌺vaginal lips), urethra (place pee hutoka) na the clitoris. 
""""🌺The clitoris ni the little pea ama bean shape karibu na place yenye the labia hu-meet. Actually, hua inaenda deeper within your body, but unaona tu the tip. 

""""""Sex inaweza mean many different things but basically ina come down to the touching of bodies, sana sana genitals. Genitals ni sexual organs ...kama penis 🍆 and 🌺 vulva. Some of this inaeza kuwa a bit confusing but ni normal kabisa kuwa curious! 

Kila mtu ako na right ya kujua about sex na ku-understand nini ina-go on na bodies zao. 💪🏿 Everyone has questions na niko hapa kuhelp na some of those answers. Cheki...""""
Ndio tu-live maisha safe, healthy na happy, ni important kila mtu ajue sexual activity ni nini. That means, wanaeza make informed decisions whenever they're ready. 🤓""

Iko na up to 15,000 nerve endings na it's the only organ in the body yenye only purpose yake ni ku-give pleasure. 😉""""
Oh wait...kabla tuendelee... ❓@contact.name just wondering kuna mtu unaeza talk to about what 'sex' means?"""
,,
Sex Basics,Sexual activity' ni nini? Na 'touching of bodies' humanisha?,"Sawa. Naeza kupea more info. Tubonge about what 'sexual activity' is na what 'touching of bodies' inamean..
""Kuna types mob za sexual activity! Uko na right ya kuhave hii info the same way uko na right ya ku-choose what & when & how unaeza taka kuzi-explore. 

Two people waki-agree ku-engage in sexual activity, hio agreement inaitangwa consent. Hii ina-apply to everything tuna choose ku-do na bodies zetu na za watu wengine e.g. kissing😚,  petting, touching breasts, rubbing bodies. Hizi zinaeza happen na clothes on or off! 👚""
📖 Define ""petting""
""Petting ni touching affectionate kama stroking. Ku-touch genitals na fingers au mouths 👄 (oral sex) zinaeza kuwa sexual activities. 

Kunaeza kuwa pia na  penetration, kama 🌺 vaginal or anal intercourse.""
Vitu zingine hapa zinaeza kuwa new to u, unadai some definitions?
Penetrative sex ni when penis 🍆 inaingia ndani ya someone's vagina🌺 or rectum (the butt hole). Sometimes, hizi act zinaitwa 🌺vaginal or anal intercourse or sex.
Sex inaeza kuwa vitu tofauti sana!

Sexual activity ni choice na ni right yako ku-decide what, when & how you do it. Ur body = ur rules. 👌

Ukimake sure kila mtu yuko comfortable, u'll have a lot more fun! Sometimes ku-engage in sexual activity inaeza result in an orgasm. 

❓Unataka ni-define it?""""
📖 An orgasm ni vile body inareact to sexual pleasure. Ni release ya many muscles na inaeza feel like uko a little bit light headed or dizzy. Hua inafeel good na kila time ni different! 😎
Ok. Wacha nikushow difference between vulva na penis orgasms...
""""Vulva orgasms zinaeza take many forms, including release ya 🌺vaginal fluids 💦 for some. Hakuna recipe ya orgasms, zina-happen when zitahappen!

'Ku-get wet' usually ni the vagina🌺 inaji prepare for penetrative sex, ku-make insertion more comfortable. Inaezakuwa stimulated na sexual touching.""""
""""A penis orgasm🍆mara mob hu-end in ejaculation 💦. Penis inarelease a sticky white fluid known as semen or 'cum'. Semen iko made up of loads of sperm zenye zina fertilise female eggs.

Fertilisation hu-lead to pregnancy 🤰🏿. Ndio reason ni muhimu ku-use contraception tuki-engage in sexual activites na hatutaki kuget pregnant. """"
I hope hii conversation imehelp ku-explain sex a bit more. Did it?""

""Before twendelee, WAZZII iko hapa kukushow...there's nothing wrong with having curiosities juu ya sex & ur body.😎
More importantly..there is nothing wrong with u. Wadau mob wana thoughts 💭 about this. Especially mayoungin kama wewe!
❓It's only natural ku-wonder about ur body and sex...ama aje?  ✅""
Ok, kama mind yako inawonder about it in the future, ni 100% normal kuwa na hizi curiosisites. Especially time yenye tunaenda through puberty na bodies zetu zina grow like craaaazy 🤪
Yesss! Especially time yenye tunaenda through puberty na bodies zetu zina grow like craaaazy 🤪
""Sometimes inaeza kuwa ngori ku-explain feelings zako. So I TOTALLY get that kuuliza about stuff inaeza feel embarassing. Which is why WAZZII iko hapa ku-help tu- talk thru it :)
""""Ok, so kitu most important ni ku-check in na vile unafeel always. Trust me, itachange change A LOT.

Unaeza start kucheki wasee wa other genders differently, sometimes inaeza kumake u-blush, u-stutter or ufeel nervous & utaenda like 'what is going on with my body?!' 

Unaeza have new crushes, sexual feelings au urges zina kumake u feel good 1 day & different the next. Super interested & then...totally not! 🤔 

Hizi feelings zote confusing ni cos hormones zetu zinago up and down. Zinaweza affect vile tunafeel. BIG TIME."
Sex Basics,,
Sex Basics,,"❓Chill kiasi... want me to define 📖hormones for u? Ni word pretty scientific.
A hormone ni a natural chemical kwa body yenye inaplay a role in sexual growth, development na reproduction. 🌻
""Kila mtu huget a burst of new hormones wakienda thru puberty.  So, usiworry if unafeel a bit weird - hizo random mood swings, crushes new, body curiosities, moments sad ama sexual frustration.  

Zote ni normal! U r growing na hormones zako zinawork overtime 🌻"""
,,
Sex Basics,,"❓Have u ever experienced any of this? The mood swings, body curiosities, crush au sexual feelings?

Don't worry, ni normal kabisa. I gatchu. The important thing is...
Ok, well ... ikihappen in the future inaezakua hormones. The important thing is...
Kuwa unsure is okay, I gatchu. The important thing is...
""Fantasising = normal. Whether ni kuthink about new crushes, bodies, sexual feelings or like.... anything. Kuexplore hizi feelings is totally cool. But remember, si must uact on these feelings kama hutaki.

Hizi feelings na curiosities ni different for kila mtu na zinachange *ALL THE TIME!* 🤪. Kuna wasee huwa hawa think about sex and bodies - that's okay too! 

So, hakuna kitu wrong na being interested or not being interested in sex."""
Sex Basics,,"Did you know sex inaweza mean many different things? 

Basically, inacome down to the touching of bodies, sana sana genitals. Genitals ni sexual organs ...like the 🍆 penis and 🌺 vulva. 

Everyone ako na right ya ku-know about sex na ku-understand what's going on na bodies zao. 

Ndio tulive lives safe, healthy na happy, ni important kila msee ajue what sexual activity is. Meaning, wanaeza make an informed decision wakiwa ready. 🤓"
Sex Basics,,"Tu-dive into vile the thought of sex inaeza ku-make ufeel. Sawa❓

Great! 😊
I love that uko comfy enough kunishow you're not ready! Usiworry, unaeza press XPLORE anytime to return to the options. 😊
""Thought ya sex inaeza bring emotions mob na different. Excited, nervous, scared na maybe even grossed out...

Naturally, hizi emotions (na zingine mob) zitachange all the time kwa life yako. Hizo hormones zina buzz 🏃‍♀️around ur body zina play a big part in this. 

This means kujua vile unafeel, or what unalike ama hulike inaezakua complicated! 🤷🏽‍♀️ Remember: only YOU know how you feel - jitrust.""
""Coz of the things tunacheki online & on tv, inaezafeel kama there's a right 'way' kufeel about bodies zetu au kuexplore bodies, sex na relationships na stuff. 

But the truth is that hizi vitu zote haziko vile tunacheki kwa movies. Lazima ugo na vile unafeel at that time. Meaning feelings na experiences zako zitakua  different from za friends zako!"""
,,
Sex Basics,❓Ni normal kuhave curiosities about sex and bodies?,"Yaaaass! As we grow, vitu zinaeza seem confusing. But ni important kukumbuka ni 100% natural kufeel hivo. U got this! 🙌 
Sometimes itnaeza feel hivyo. Vitu zinaeza seem scary as we grow, but ni important kukumbuka ni 100% natural kufeel hivyo. U got this! 🙌 
""Ni poa kujua hii info ndio tu-understand bodies zetu na ndio tukuwe prepared for these changes 😄.

I'm glad we could talk about this. And remember, no matter what anyone else says...jiskize...always! Unaeza make ur own informed choices based on vile unafeel.  It's totally ok ku-explore hizi feelings 😊.

👑 After all, ur body = ur rules 👑""

""❓I hope hii advice nimekupea ni a good start?

""""I want u to know that hizi changes ni normal na it's natural kuhave mixed feelings. 🌟Hakuna shame in this.

Feelings zako ziko valid ALWAYS. 🌟 
Vile wasee hubonga juu ya sex inaweza leta presha noma mbaya!🥵 Inaweza feel kama kuhave sex na partner wako ni the only way kushow love... Ama kama kila mtu anahave sex. Lakini unajua nini - hio si true!
""""Sisi wote huenda na speeds different and that's okay! Just because msee mwingine yuko ready, haimean wewe uko ready! 

Just because ulikuwa ready one time, haimean utakua ready every other time. Kuna more than one way ya kushow feelings zako 🥰. 

Unafaa kuskiza👂mwili na akili yako. """"
Ni important kufikiria vile unafeel na kujiamini. Unataka tutry ku work it out together?
Poa! 😎 Kama beshte yako mnew, naweza kukusaidia kuifigure out.
Trust me! 🤗 Tuna eza try kuifigure out pamoja!"""
,,
Love Relationships,Time poa ya kuhave sex?,"Nita share questions mbili zenye zilisaidia other girls kujitambua. Ndio umake the best choice about sex & sexual activity jiulize...

1. *Mbona nataka kuhave sex?* 🤷‍♀️

Kama ni juu unafeel uko ready, basi poa! Ni important kuweka feelings zako mbele 🥇. Lakini kama reasons zako ziko based on someone else, unaweza taka kuthink a little more🧐.

Wewe ndio unajua for sure kile wewe na body yako mko ready for!

""2. *Nafanyia nani?*

Sex inafaa kuwa juu yako & partner wako pia...
Kama ni JUST for you, or JUST for partner wako, ama ni juu ya kuimpress someone else... think twice.
Sexual activity zote zinafaa kuhappen na consent yako.
Naweza define anything for you?""

""📖 Consent: Consent ni time umedecide freely na bila kuforciwa kuengage in sexual activity na mtu. Inafaa kupeanwa for every sexual activity.

Hii inamean that ni must wewe na partner wako mnapeana consent for everything mnafanya time ya sex.

""""Haimatter kama uliitikia kuhave sex last week, month au year...ama kama hujawai have sex au umehave sex mara 100 before...body yako ni yako tu kila time. 

Cha muhimu ni - hakuna story ya CHA LAZIMA ikicome to sex. Kama msee anatry kukupressure, mremind body yako, ni choice yako! Kuna many ways za kushow love ❤️ @contact.name.""

""Umethink about ways zingine za kushow love yako?""""

Fiti! Basi unajua msee anakulove haezi kuforce ufanye kitu huko ready for. ❣️

Haina noma - Tunaeza ithink through 🤗 Remember, msee anakulove haezifanya udo kitu huko ready for ❣️

Mnaeza spend time pamoja mbonge 🥰, mwatch movie 🍿 au mtake walk, or try sexual activities zingine zenye uko comfortable nazo
""""Kuna WAYS MOB za kushow sexual attraction au love ❤️. Ukiwa ready, unafaa kuthink about kile unaexpect 🥰.

Kumbuka, sex haiendangi vile tunaonanga kwa TV/movies 🎬 Inaweza kuwa fun / romantic / intimate🌹 but pia inaweza kuwa clumsy / embarrasing / uncomfortable 😳. """"
Sex inaweza kuamsha feelings mob before, during na after 😢😁😲😟😍 Ni normal! Umethink about vile utafeel?

Poa! Wacha tuthink about it a bit more.

Sawa. Unaweza think about it kiasi saa hii.

""""Kama bado unamake up mind yako, it's ok! 🤗 Kudecide kuhave sex inamean unafaa kuskiza vile unafeel - kama huko ready, ni sawa pia!

Cha MUHIMU ni kufeel safe, respected & comfortable!""""
""""Kumake hizi decisions inaeza kuwa hard but ni important kuthink about it ukiwa ready🙌.

Unajua for sure nini iko right for you, trust that! Nahope info nimeshare imehelp?""""

""""Kutry kuunderstand kile unataka inaezafeel kama JOB MOB but ni worth it!
Remember - kile unataka ni important 🏋️‍♀️. Na si must uhave sex ndio ukue na relationship poa 🥰❤️.""""
"
,,
,,
,,
Love Relationships,Naeza change mind yangu about sex? 😬,"""Answer ya hii question ni v.v. important @contact.name...so tuanze!

OF COURSE U CAN!!!...But...before  tudiscuss the details...

❓Niko curious, kuna mtu mwingine unafeel comfortable kuongea na yeye about this?""
""Ok, so ndio tukue on the same page, tukibonga about 'sex', nabonga juu ya sexual activity of any kind. 

Including all kinds of stuff kama kissing, kutouch genitals, kutouch breasts, kurub bodies, penetration, clothes on au off. 

With all this, it's no wonder huwa tunachange our minds about vitu tunataka - ni important kujua that we're allowed to.

""""First up, *Why* unachange mind yako is up to u. Reason yoyote is a good reason. Na si must ushow msee hio reason pia. *No matter what* 🙌 

Kuna something kila mresh anafaa kujua..but mara most hawajui...❓Ni phrase gani unadhani wanafaa kujua? 

Your body = _________""""""

Exactly! 🌟 Si must ukue na reason. When it is ur body, wewe ndio una decide! Any reason ni a good reason. No matter what.

Well...eeh..hio pia...but also your body = ur rules...when it is ur body, wewe ndio una decide!

""""""Sasa tutalk about *When*...Kuna times mob unaezastart kufeel differently...
Inaezakuwa you're just talking...already mmeanza kukiss, ku-undress ama even kutouch genitals""""
Genitals zinainclude the🍆penis and vulva🌺. Ni define?
""""Whatever the situation, haimatter *WHEN* ⌚una decide.  The only thing inamatter ni *THAT* umedecide in your own time. 

*Ur Body = Ur Rules!!!* 📣

Haimatter kama uliagree kuhave sex, weeks, months, years ago... ama kama umehave sex before au umehave sex 100 times before...body ni yako *always*. """"
""""Tunathink ni important sana tukeep tukijiremind na kujiambia hivyo, especially kama unafeel pressure from friends or wasee wanataka kuhave sex. 
And kama msee amefanya kitu once, kunaeza kuwa na pressure ya kudo it again. Inaezafeel vi-zii...like umebeba mawe kwa chest yako. Kumbuka always, sexual activity is always a choice.""""""
""Uko so right! Wasee wanaeza change mind zao and that is always ok. Trust me...

It may not feel like it, but uko always allowed ku-change mind yako about sex, ata kama umehave sex before. Trust me... 

""""""""""""Hauko solo hapa, wasee wengi wameface hii pressure (and it sucks 😞!!) Stay strong and...remember that ni right yako ALWAYS kuchoose if and how utaengage in sex. No questions asked!💡
Hii yote inacome down to consent. Sexual consent ni when una decide freely na voluntarily kuengage in sexual activity na msee. Inaapply for every single sexual activity kwa sexual situation. 

Meaning, wewe na partner(s) wako mnafaa kuconsent to every single thing mnado in sexual activity.📋✅""""""""
""""""""Usiworry, hakuna contract needed! 😝 Inamean tu unafaa ku *actively express* kile unataka kudo au hutaki kudo. 

Remember ur body = ur rules. 

Kama unafeel unsure or undecided juu ya ku-engage in sexual activity, hufai kupeana consent. Kama hufeel comfortable, unaeza sema 'No' or 'not yet' or 'I don't want to' or unaeza pia jiexpress na ur body language.""""""""
""""""""Kitu important hapa ni unaezachange ur mind at any time, usilet msee akushow otherwise. Want to do something one day and then not the next day? Ni normal kabisa, unafaa tu kudo stuff u *WANT* to do, si vitu unafeel uko expected kudo👍.

Unataka kukiss tu? 😙 No problem! Si must uconsent to anything more. Say it with me now... my body = my rules! 📣 🙌""""""""
Kila time unadecide kuengage in sexual activity, inafaa kuwa because of 3 things: una feel comfortable, respected & u WANT to be there. """""""
,,
Safe Sex,Choices 4 safe sex 👩🏾‍❤️‍👨🏿,"🙌 Ni fiti unaask about safe sex. Kuna info mob huku nje inaeza kuwa confusing sometimes. Niko hapa kuhelp kukupatia the accurate information 🤓ndio uweze kumake choices zako  on what is right for you time ikicome 👌contraception.

❓Kuna wasee wengine unajua wenye unaeza bongesha juu ya hizi vitu?

✨You are lucky.✨ Ok Wacha tuendelee kubonga. 💬💬💬

Ni sawa. 🤗 Niko hapa ndio tubonge about it 💬💬💬"
Safe Sex,,"Ok first, unajua contraception ni nini?

Contraception ni word ingine ya protection time ya sexual activity.

Wasee hu-use contraception ndio waenjoy sex wakireduce risk ya kupata ball🤰🏾. Kuna some contraceptives zenye zinareduce risk ya kuget/kutransmit STIs.
Sexually Transmitted Infections (STI) = infection yenye iko shared from one person to mwengine through sexual contact. Pia inajulikana kama sexually transmitted disease (STD).
STIs common unaezakuwa umeskia ni kama bacterial vaginosis, gonorrhea (kisonono), chlamydia na syphillis (kaswende).

""Kuna types mob za contraception, ni gani unaezataka kuskia about first?                                                                                                 

""Inaeza take some time kufind the right contraception for u, but ni worth kutry vitu different ucheki what works 😃.

No matter what u decide remember that condoms ni the ONLY way kuprevent both STIs and pregnancy 🤰🏾...ndio maana ni poa ku-use both forms of contraception: Hormonal & barrier (condom) kumaximise sexual safety""

The most important thing ku-remember ni ati uko na right ya ku-use protection.💫Pia naeza kukupatia deets za a friendly service wenye waneza kusort na contraception and advice.

""Condoms zinajulikana kama barrier method na zina keep the sperm from kuingia kwa the vagina🌺 time ya sexual activity. Barrier methods haziprotect tu msee from against pregnancy🤰🏿but... from STIs pia! Woohoo! 

Sexual organs zina-include penis🍆na  vagina🌺. Unaneed definitions?""
""The penis🍆 ni male sex organ. Ina-releases sperm during ejaculation💦. (Pia ndio inatumika kunyora but don't worry, hai-happen at the same time!😂)

Iko attached to the scrotum, (aka the balls). Scrotum ndio imeshikilia tesitcles zenye zimebeba sperms & hormones.""
""Mdame akiwa aroused, vagina🌺inaezatoa fluids kuprepare for sexual activity. Mara most hii huitwa 'getting wet'💦.

Msee ako na penis🍆, na mwengine ako na vagina 🌺 wakihave 🌺vaginal sex, sperm inaeza swim out of the penis🍆 na into the uterus through vagina🌺. Sperm inaeza fertilise an egg kwa uterus, na dame aget ball🤰🏾.

Both fluids zinaezabeba STIs. Meaning, saa ile semen from a penis 🍆 inamixes na fluids kwa the vagina🌺, kuna risk ya pregnancy🤰🏾NA STIs always."""
Safe Sex,,"❓Ok, unaezataka kuskia about the most common barrier method: the external condom?

""""""External condom inatumika kucover penis🍆 na a rubber-like material. Hii inaact kama barrier time ya kuengage in sexual acts.
Condoms zinakuanga effective tu kama ziko used vizuri...na zinafaa ku-usiwa everytime during oral sex, anal or 🌺vaginal intercourse.

But ndio ziwork lazima zivaliwe correctly.        """"
""""Top tips: kama ni old sana, inaeza break. 😔 Kama imekua kwa wallet yako for long, sare msee!🙅🏾‍♀️ Usitumie condom imepita expiry date. 

Kuwa careful usirarue the condom na usiitumie na maoils au lotions juu inaeza break hio rubber material. 

Tumia tu one at a time, na utupe after use 🚮Huwezi zitumia tena au kurecycle."""""""
Safe Sex,,"❓Unadai kujua pros and cons za condoms?

""PROS: Uki-use correctly, inakuanga 98% effective kwa kuprevent pregnancy. Barrier methods ni the ONLY contraception unaeza use kuprevent STIs. 
Zinakuanga available kwa clinics au chemists. Most importantly hazina hormonal side effects. WOOHOO 🎉

CONS: Ni must utumie kila time unahave sex. Meaning, kuivaa before skin-to-skin genital contact na kukaa nayo hadu umalize. 
Ni easy kuget the hang of them, usilet hio ikuput off 😀"""
,,
