text,prediction
"I feel so bad , my boyfriend flirts with girls so much . What to do?",1
What do you do when you love someone buy not ready to have sex with him but afraid to tell him?,1
How long does mensuration last,1
3,1
I want to know people,1
"Have been dating someone since last year December he loves me so much we have never had sex but we exchange nudes and everything we ever kissed but we are having troubles in our relationship my love for him has developed more and we don't get time for us ,,he has reduced the way he calls and texts me what could be the problem",1
"Kàma umepatana na boyfriend online na hamjawai meet bt huwa mnabonga through video calls then he tells you that anakupenda ntajuaje?  Secondly he needs you to trust him,,,how should I do or know about him?",1
Oky,1
How can I fix my relationship after entertaining another man in my life,1
How about masturbation,1
2024-04-25T10:29:01.443805Z,0
"I like my partner a lot but then I feel like am not ready to break my virginity am a little afraid of letting it go but my partner really want us to make out and when I tell him how I feel he says that it's just impossible to love him and not make love to him , Wazzi I want to but am just afraid of loosing my virginity rn what should I do ?",1
I'm pregnant and don't want to keep it what should I do??,1
How does someone get confidence and be sexually active after worst experience in relationships that made her not to like sex,1
Is virginity necessary for a happy marriage?,1
2024-05-20T13:09:01.153557Z,1
Yup!,1
What is the Best age to loose virginity,1
What can be causing recurring yeast infections and candidiasis,1
Nimekua nilitumia depo for the last 9months...let's say a year na cjawai nyesha Hadi leo is it normal,1
due,1
"nikinyesha napatanga vitu zinakaa pimples but they aint pimples na nikizifinya huwa hazitoi maji instead they get painful,,,,,,,,na haziiishi what could be the problem",1
"What do you do when you feel like everyone doesn't want you in your life... starting from your parents,friends and even boyfriend?",1
Sex inaezafanywa na mtu yeyote.l mean  hata under 18,1
2023-12-03T04:46:01.604267Z,1
Is it a must msee able edit on the first day of having sex,1
How can I get a girl .......since I have never  approach any,0
What should I do coz I'm very thirsty 4 smashing,0
Dem wangu ananicheat,1
"Thank you 💯, , I understand one of the reasons he can't commit into a relationship is because of our religious differences, and the fact that if my parent ever caught us, things will get messy for both of us. But am willing to try and see how it'll be if we would date., , Stuck between two decisions, keeping things as they are, like we're kinda dating it's just that the 'relationship' name is not present, or calling it off because of his reasons that I don't agree with..., , Any advice?",1
Mmh it's all about my body. I Wana ask how to make my breast  still  to stand strong? What should I do?,1
How to control if in need of a girlfriend 💕,0
what are the ways u can advise me to use to save,1
Is it okay mtu kutokuwa na girlfriend for 8years,0
Why didn't i receive any response,0
Safe days huwa after how many days after your periods?,1
Does morning pill work during ovulation,1
2023-09-22T10:04:01.785171Z,1
"My lady is experiencing burning sensation,, while urinating (Q) is that UTI",1
Ok,1
Ni poa ku have sex,1
"All my mates wakona boyfriend na girlfriend,while, Am still single.I can't bare, The feeling.wat should I do?",1
2023-12-21T18:55:01.480686Z,0
forced,1
"Mtu anaweza toa mimba ya miezi nne kwa kutumia njia gani?, isipokuwa dawa...",1
by,1
if you have unprotected sex 3days before periods unaeza pata ball,1
2023-12-28T08:58:01.147779Z,1
unakuwaka wp,1
self,1
My bestfriend is suicidal. I don't know what to do,1
Hello,0
Mtu hujua aje chali yako anakucheat?,1
Can I get pregnant when I have sex during my period time,1
What are the side effects of depo,1
In which condition can an emergency contraceptive pill fail to work efficiently,1
I experience itchiness and an awkward discharge after my periods it's quite uncomfortable,1
2024-04-18T15:18:01.233083Z,1
Does social distancing cause poor relationship?,0
issue,1
How can I know if my partner loves me,1
Does size matter,1
Why would a man ask me to take medicine before sex that is harmful,1
Is it good to have friends with benefits? Juu like currently am not dating but sometimes i feel i need a man for sexual desires,1
isn't normal to miss period for more than 3 months and you aren't pregnant,1
2023-11-15T21:21:01.806112Z,1
Hello! Can I get this video...I need my friend to get this information she is not on Instagram,0
Can the breast be of the sama size,1
Which kind of family planning is good ?,1
I was asking if u wazii... help one to find a job,0
Am 20yrs and am a virgin but I really want to have sex but am afraid,1
Am addicted to masturbation sasa,1
Naeza pata mchumba huku,1
How can one del with a hearbreak,1
"Dem akiweka depo, inaeza cause UTI",0
What the right to date,1
Kwani Kuna periods zinaenda for 30 days because unasema ati kama longest cycle yangu ni 30 days...azin I can't get it well,1
Hello last month periods zangu zilikam kama clot like vitu zimeshikana so I was wondering if that's normal,1
Viagra hutake how long uki have sex ukimeza full medicine,0
"Vaginal discharge yangu ina stink at times,, I'm a thick woman na it really sucks that it happens,, I shaved down there, my hygiene iko top but still it stinks... Pia kuna vile ina taste and I can't receive head with that kind of taste,, please don't judge me that I tasted it,, my man fingered me and put his fingers in my mouth nkafeel kupuke... What could be the problem?",1
2023-12-01T11:50:01.442484Z,1
"So I've been talking to this guy for some time now..tumeenda date moja na nafeel that through our communication, aspect ya intimacy inacome up sana...na feel scared kuenulge kwa anything, juu siko comfortable sana na my own skin..kuna pressures mingi kutoka my friends, convo mingi ni kuhusu intimacy na I feel like I'm weird or something is wrong",1
After how long should one engange in sex after dating someone for a week,0
What are the earliest signs of STIS,1
2024-01-07T06:23:03.698327Z,1
How do I make the lady who made me join this platform my girlfriend. She's cute I really like her,1
Am in a relationship where tuko wawili but the other girl is outside the country and she is coming back after 20 years and the boy alimchoose coz the girl used to send him money and at the same time the boy tells me he lives me that he loves both of us and the friend to the boy told just to chill aty dem akue akituma doh tukule i don't know if the boy loves me or he loves the other girl coz he doesn't want me to move on he also told me that ako na haja na hii maisha yangu hapa mbele,1
2023-12-15T13:18:01.218657Z,1
Why do I feel that relationship's are boring,1
Yup!,1
2023-12-31T21:19:01.120699Z,1
Mbona my breast nahisi uchungu alf my nipples ni ngumu especially ikishika maji na inakaa kama imecrack karibu na nipple,1
Mbona pads hufichwa na gazeti ukibuy?,1
"Okay, it's about friendships. Do you think it's okay if your friend always tells you openly of how people don't like you or how other people think you're ugly?",1
Sasawqa,1
How can I know the best family planning method for my body?,1
"Mahn i have this girlfriend,so like tulibreak for Christmas yeye akaenda kwao na mimi kwetu,then b4 tuende home tulihave sex tho sikumwaga ndani,after a few days she confirmed to me that ako na ball, Tukadecide tusitoe,tuweke but kuna venye tu ni kama hatufeeliani kabisa ady inafika point nashuku io ball si yangu,sa nilkua nauliza in this state what should i do?",1
What about nikikunywa maji after sex,1
Yup!,1
is it normal for someone to masturbate?,1
What causes ectopic pregnancy,1
Naishi na my aunts na ninateswa sana like juzi nimepigwa hadi slaps for no reasons kuconcetrate daro imekua ngori this moment im feeling to end my life miniscule my parents staff nappies hawaniskizi had naona hawa enyewe hawanipendi why make me go through all these im just a girl sai niko depressed,1
Mbona breast moja huwa biggy than the other,1
"So,yk around this age most ladies wako sexually active. I was wondering if it is okay for one to use any contraceptives and if so which is the best option that won't have later effects on my body?",1
2024-10-21T20:26:01.342790Z,0
What is sex besic,1
Mbona kijana hawezi kaa  bila dem,0
Wat n wen r safe days 4 a woman,0
How can I release an air ball during sex,1
3,1
Why do I experience lower abdominal pains,1
What causes recurrent UTI other than sex?,1
How effective is contraceptive,1
2024-05-09T19:07:01.222357Z,1
"I have irregular periods,so this time I started and they stopped the same day but bado cramps zilikuwa then nikakaa for like one day halafu ikaanza tena but in a more painful way ,is it normal?",1
I have my friend to whom I want to help anotoka fluids za white inform of something imeganda,1
How can I be able to control my sexual urges,1
I don't have a girlfriend,0
My calendar of period says that yesterday was a high chance of getting pregnant but I had sex,1
Like can I have some of the conversation starters when someone is shy,1
2023-12-22T15:18:01.271911Z,1
"If your doing sex then you released outside in the first round, the second round you released insidd can the girl conseave or pregnate",1
Is it bad for being a virgin,1
Yup!,1
Have been dealing with hormonal imbalance and irregular periods my question is how to balance my hormones na periods ziwe regular,1
6,1
"I've been having  dry vagina for sometime now,what might be the problem?",1
How do you let go of someone who you still love soo much yet you know at some point he did you wrong but he still comes back?,1
Kuna boy huwa nimecrushia mi hushuku ni g*y juu anakuanga anti women. Shida ni eti ye hushinda akisema vile amekufia madem but hana wake. Ndo maana namshuku. Nisaidie.,1
How long should sameone date,0
I had an anxiety attack today.. nmeanza tu kulia non-stop na nlikuwa nashake for no reason... I mentally sick,1
"Heyy, my name is Gloria.  I have been celibate since last year june. For the first time ever,my periods are 4 days late. What could be the reason? I have genuinely been celibate and I don't even know what could be the reason. What should I do?",1
Waxing or shaving?,0
Naeza do nini to keep our conversation going with my boo,1
Please help me am in depression naskia nimefika mwisho,1
Okay thanks,1
Safe days zako za kuhave unprotected sex  after your periods hukuwa ngapi?,1
ok nikona boyfriend mih najua that we love each other Sana Lakini alitumwa job mbali na sa communication kuna vile ime change Sana anadai aty ataki kua na hom sick akinibongesha inamanisha nini,1
What are the early signs of pregnancy,1
What are the causes of miscarriage,1
Periods zangu hazikam vizuri,1
Does anal sex pose a risk to STI,1
So apparently nikona shida na sijai pata solution uncle yangu alinislap akanipiga ju nilienda Ku visit my divorced father ju waliachananga na mum namwonanga naskia apana sjai msamehea ju si rahisi nidoo,1
Request online chat,0
What's the group about,1
2024-11-02T21:44:01.362711Z,0
"Sasa , I had communicated  about the spotting I was experiencing , Sasa toka last week I've been experiencing heavy periods , I mean like blood clots all through , Sasa sijui ni dawa gani nafaa kumeza",1
2024-08-28T12:33:01.347638Z,1
2023-10-18T19:10:01.653596Z,1
Is it true that one can fail to enjoy vaginal sex...?and what could be the reason behind it? What's the solution,1
2024-05-17T18:05:01.508411Z,1
i want to know if my man is cheating on me?,1
TRUE,1
"I'm so passionate about helping youths and stuff like that, can one be an ambassador of wazzii?",1
Is arbotion safe?,1
Mtu anaweza Fanya Nini  asikue depressed,0
Kama mlifuck na msee ukiwa on your periods then zikapotea hizo periods,1
I had unprotected sex na najishuku Niko mimba😭....bt cjaona signs zote za pregnancy...am just stressed out...pliz help,1
Are the contraceptives really good for one who haven't given birth yetm,1
"Kwa relationship,like a marriage,ukioa mdem mwenye anakuzidi salary, like for example,anaearn 100k na we as a man of the house unapata 60k,how is your view about that, like who is now the end of the family hapo",0
2024-09-20T13:10:01.670633Z,1
2023-12-16T20:43:01.519537Z,1
I'd like to know more about the coil,1
Mwanaume anafaa kuvaaa condom aje,1
by,1
Niliget implant contraceptive kitambo kidogo I got my periods early na since then it's been like 2week na bado napata droplets kidogo Kila siku its so uncomfortable ju inaeza come tu at any time na siyuko prepared is it normal?,1
Is anal sex healthy?,1
Want to know more about Viagra pills,0
I feel gayish from childhood but never explored it anyhow....I got a girlfriend but it's like am forcing myself to have one... I see my fellow man's thighs and chest I naturally erect...I've tried assuming my emotions over the years coz I don't want to accept being gay but the emotions are overcoming me and I feel tempted to give it a try....plizzz help,1
Utajua aje manzi ananyesha,1
Where can I get counselling services at a cheap price,1
2024-05-11T12:28:01.555398Z,0
"What if before alete huyo dame nilimuongelesha nikamuambia mimi staki amlete ila bado tu limleta, wanaishi wawili kwa.single room.",1
2023-11-22T21:44:02.325558Z,1
Mtu anafaa kuhave sex mara ngapi week,1
Right time ya kuget into a relationship,1
Kma mse anatoka discharge yellowish ama bloodish kwa breast moja inaeza kua sign ya nn ama ni shida gni ako nayo,1
How can  I know my love language,1
I have a boyfriend who is a bit far .... I feel so insecure,1
"I produce a smelly discharge,,what can be the problem",1
What happens when I take emergency pills three times within a one week?,1
Is it okay to date as a teen,1
My question is i have being engaging in unprotected sex for about 5 months with my man and all this while amekua akimwaga ndani like am supposed to be pregnant yet am not concieving ...nime move in na yeye and we engage in sex almost daily but still sipati ball ......mimi badw nanyesha kila mwezi .....am wondering what  may be the problem with me,1
How can I confirm one week pregnant,1
Some conversations you really should have with your partner,1
I know it's weird but aki mnihelp nipate job,1
"My perineum inawasha na a smelly discharge inatoka, Nimemeza antibiotics mob sana na pia injections but haiishi",1
Who is the head of the family,0
"lam in relationship with this guy l met in my campus ,we have dated since September l love this guy so much bt for the last  three days he is not talking or either replying my text what should l do lam confused",1
How old are u,0
1,1
1,1
2,1
"I love having sex alot,,could that be a problem,,advice",1
"so kuna this guy i really like na he says he likes me too lakini hanipei attention,alafu ni kama hataki kuonekana na mimi,,,sasa what should I do?",1
How to make sure that I do not have the negative feelings after sex,1
"Is it okay when a partner doesn't want to tell you things that concern him and he use to do that before?, , Is it manipulation if a partner all over sudden starts being harsh even when he's wrong so that you don't question them any more?, , What should I do when a partner is a drunkard and a lier?",1
Hivi Mpera ni dawa ya kuzuia mimba,0
If one is having sex with a person who has STI'S and her has protection can he get the infections,1
Je mnatafutia mtu partner,1
3,1
Is spotting a sign of pregnancy and what are signs of pregnancy,1
Naezafanya aje ndio my love anipende zaidi,1
How to deal with a toxic girlfriend,1
how to watching porn and masturbating,1
Ukitake p2 chances za kuget pregnant ni?,1
"Aky nimekua na stress ,ihave agour month baby and I had unprotected sex the next day nkachukia planB na nimekua na craps,na nilikua sijaona periods",1
is there any posibbility mtu kupata bol after umehave sex na atumie p2,1
Does one have to peak or orgasm to get pregnant?,1
How can a girl feel like she is sexual harassed,1
Long distance relationship hua zinawork?,1
How can one heal from a seven years. Relationship heart break,1
What cud be the problem when a girl has sex without protection and still don’t get pregnant?,1
How to avoid pregnancy,1
Nitoe 5k juu ya kuona dem wacha tu😂😂🫵(.is this a red flag I should watch out for?),1
Is it normal ku kua na desire ya ku have sex ukiwa on your periods,1
Am gay and i can't tell my parents. What should i do?,1
do you support Lesbianism and guy,1
How to have healthy sex,1
"Wife wangu Ako lazy mbaya, kunifulia nguo inabidi ka nmemkumbusha,,, To make the matter worse yeye hukulia jikoni , me hukula peke yangu dining room,,, and our family is still young we have two kids, But ameniboo mbya Should I divorce",1
issue,1
Business gani naweza Anza campo,0
Yea,1
2023-11-15T07:26:02.066637Z,1
Yeast infection ni sti,1
"Im at that point where suddenly i dont have friends nabaki kwa nyumba whole day crying ,sleeping like nothing in my life is going well",1
2023-12-30T13:45:02.208912Z,0
P2 should be taken after how long,0
Should I reply to him?,0
Relationships,1
"Me ni mtu am confused, kama need of continuing with the journey of living with a man kwa nyumba, or stop it. And whenever I talk of living the guy get so hurt hadi anasema vitu zingine, can't imagine kumwacha afanye hivo. So like me navumilia tu, how will I cope up and change him to be the better version of the man I want?",1
𝚒𝚜 𝚒𝚝 𝚗𝚘𝚛𝚖𝚊𝚕 𝚏𝚘𝚛 𝚊𝚖𝚊𝚗 𝚝𝚘 𝚊𝚕𝚠𝚊𝚢𝚜 𝚊𝚜𝚔 𝚑𝚒𝚜 𝚜𝚎𝚡 𝚙𝚊𝚛𝚝𝚗𝚎𝚛 𝚝𝚘 𝚛𝚒𝚍𝚎 𝚘𝚗 𝚑𝚒𝚖 𝚜𝚒𝚗𝚌𝚎 𝚝𝚑𝚊𝚝𝚜 𝚝𝚑𝚎 𝚘𝚗𝚕𝚢 𝚠𝚊𝚢 𝚝𝚘 𝚜𝚊𝚝𝚒𝚜𝚏𝚢 𝚑𝚎𝚛 𝚊𝚜 𝚑𝚎𝚜 𝚠𝚎𝚊𝚔 𝚠𝚑𝚎𝚗 𝚑𝚎 𝚛𝚒𝚍𝚎𝚜,1
Which contraceptives are safest and birth control pills that won't have a later effect on someone,1
For how many hour mtu anafaa kua na pad??,0
What if you took an emergency pill within 24 hrs even when your ovulating,1
Msee akidai nguvu za kiume  ?,1
2023-12-17T20:13:01.348355Z,1
2023-12-29T19:44:01.276623Z,1
"I have this guy I met almost 2years ago in 2020, we had not known each other at all we met at my cousins birthday… I had a crush on his friend(keep in mind I did not even talk to him) so I wanted to do something with the guy I had a crush on but then I ended up doing it with the guy I’m talking about…So after those 2 or so years we finally met during the new years(in 2020 we did not have sex… we just got sexual but not that sexual and we never talked after that) so during New Years we met and he kissed me and we danced and all..he told me to text him on IG I did he replied but hasn’t talked to me again… now I’m confused should I reach out again ama I respect myself???",1
Nauliza kama muneeza offer kuorganize to talk to a group of girls if i gather them,1
"Nilimove in na boyfriend yangu who happens to be my work mate, nafeel naboeka kuishi na yeye juu wazazi wake wanatueka pressure ya kuona na hatuna stable income. Nataka kumove out nitamuwmbia aje pia nafeel ni kama Ako emotionally abusive",1
How should I avoid sex intercourse im an addict,1
ni poa kusumbuana,1
3,1
Naeza ongea na any professional,1
Choices for safe sex,1
Naeza jua more of njia za kupangwa uzazi,1
2023-12-13T16:10:01.205278Z,1
2023-12-17T15:12:01.631377Z,1
Are there benefits to having anal sex?,1
Naweza mix pills zakumeza,1
so I'm 18 and I really wanna experience sex but I am afraid of breaking my virginity coz I had that the process is so painful..how can you advice me,1
Nataka kureduce boobs. Is it possible?,1
Una itwa ajee,1
Having sex sana iko na effect yoyote,1
Is sex good and why,1
lazima,1
Can a young man get married to an older woman with a kid,1
Of late my vagina imeshinda ikukua wet sana kuna shida,1
It's just about sex,1
2024-11-22T08:14:01.466788Z,0
Can I get pregnant nikiwa na implant?,1
What to do after sex ...like the aftercare...,1
Can one masturbate without watching pornographic content,1
self,1
Uko aje,0
Okay so sijui sexuality yangu vizuri but I'm a girl and I think I'm in love with a girl,1
How can I deal with my loneliness and feeling left out,1
Nkona mpoa... I am supposed to be going job next year.. job ya majuu I really love my man .... we discussed about it akadai mih nifocus na dream yangu .... is he real ama si mse mfitti... ?? Ama ananiambia niende ndo apate dem mwingine?,1
Like i have a boyfriend na nikikosa ku have sex na yeye ana jam what should i do,1
2023-10-19T16:02:01.449269Z,1
Nataka quiz test,0
Types of sex styles,0
This is for what suarly,1
Well i was told most contraceptives most huaffect body Like bleeding  Back pains Adding weight  Like how will I know the best one for me even though have tried the coil method and UID,1
Where can I get sugar mommy,0
Zi!,0
Ok,1
So nataka kuuliza kama wazzii can explain STI's to me,1
What birth control do you recommend for a 19yr old?,1
How to prevent pregnancy as a man,1
3,1
by,1
"So I'm an 18 years old Virgini, Na nataka kuhave sex for the first time, , Any tips please?",1
"Well, I get many people saying vile I'm pretty alot even babies,my agemates and older people but I don't get guys who I'd want to have ni nini nafanya wrong kwani...",1
Naeza Fanya aje kudeal na toxic environment from my parents,1
Nimekuwa na periods from 6th oct until date na nimeenda hosi nikapewa dawa na haziishi,1
I was asking about relationship yunno mimi ni introvert na unajua how tunakuwanga so like I needed some advice on how to start a relationship with someone hope unaniget,1
1,1
2023-10-15T18:45:01.481822Z,1
Why cant you send small videos that i see you guys posting on Facebook,0
So nafaa to prepare before having sex like hygienic,1
"So,,,nikona boyfriend na we have never ever had sex.. na every time tukiongea we like have this feeling of intimacy and sijui nifanye aje cause I feel like he's bored with me cause we have never had sex.... My question is what is the best move to make?",1
How to say or react when my boyfriend says that today he has been with her ex?  I have felt so bad should I tell him or not kindly advice,0
So huwa mna deal na nn,1
issue,1
Kwanini time nahave  sex  penis huumia na unapata sometimes ngozi  inakwaruzwa  na hata pengine kutoka?,1
I'm I really supposed to feel insecure after hanging out with a guy whom is not classed as my boyfriend .... then realize that he is known to many ladies,0
2023-12-16T19:52:01.267800Z,1
Biology question,0
Mtu anaeza beba mimba ya watu wawili,1
Do men need woman?,0
Can I have sex while having this severe pain while urination,1
5,1
Kuna watu hawapatangi pleasure from sex?,1
"I would like to get on contraceptives Ile injection ya 3 months, what are the possible side effects",1
"I have a girlfriend and she is 1month pregnant so I was asking what am I supposed to be doing or what is she supposed to be doing as from now ,,cause its our first child...??",1
We are worried that we might be pregnant,1
"When i have sex, it feels very painful. Sometimes it feels like a wall is down there. How do i sort this out?",1
What days am I safe if my periods started on 23April and ended on 27April?,1
Why do I eat tissue too much I mean tishu ya choo😭 am serious btw i do eat and swallow,0
Is it ok to feel like your parents owe you more than they have given you,0
my siz told me today that in school walikuwa wanapewa punishment cause most of them walicopy and mwalimu aliwauliza kama alicopy but yeye hakujibu akabaki kama ameketi then class ikasema eti yeye alicopy and it was true but she defended herself then class teacher akamuambia aende Kwa principal office but hakuenda alidhani ni obvious jokes za teacher she is asking for an opinion and what she would do?,1
2024-01-02T19:23:01.401545Z,1
Nitafanya aje ili ni last long kwa bed,1
Na hii wazii ina maanisha nn,1
Is preventing ku cum fast possible after masturbating for a long time?,1
i took 3 month depo provera family planning injection then amonth later nikaanza kupata some irregular heartbeats are they related in any way can it be the root cause,1
Is it a must itumike direct,1
2024-05-28T18:46:01.534122Z,1
What if nlihave sex like 24hrs ago na sidai kutake pills kuprevent ball which other method can I use?,1
Can HIV aids transmitted through sperms,1
Kuna venye being not circumcised affect mseee when smashing😂,1
Ukimeza P2 one day ndio ufike day 14...unaweza pata ball,1
Like is wazii on what's app,0
"What is the signifant difference between syphilis , Chlamydia and gonorrhea?",1
Mse anafaa kutake pills each time anahave sex ama Iko na limits per month?,1
2024-04-18T13:56:02.104986Z,1
3,1
Mental health,1
I want to know about growth in Breast,1
by,1
One of my b**bs feels a bit harder than the other one...is it a matter of concern😔😔😔,1
2023-09-16T10:54:01.134018Z,1
When should someone do a raw sex na asipate ball,1
How long should one last in the first shot,0
After sex mbona uki Kaa sana unafeel pain Kwa mgongo,1
Why is that many of youth living with HIV are in fear mostly they are weak and sad,1
2023-12-14T17:44:01.360647Z,1
My beb ni kama ananicheat aki ntajua aje,1
Like every time I go to the washroom on a longcal it really get so itchy what might be the cause,0
How someone knows if he or she is a sex addict,0
"so hi wazzii,my question is ..can I get pregnant on my fourth day after periods",1
Some nasty texts that I can send to my boyfriend and turn him on immediately,1
"I need to start family planning which one is the best and second , 2 if someone has never gave birth can you use family planning",1
What does discharge ya yellow and look more like a york indicate bt it is not smelly,1
Yup!,1
"AM 21old,and my girlfriend she 23old,so my question is..Does this will work realy?",1
"So my period is 25 days late. It's never late. My cycle ranges from 28 to 34 days., I did the urine and blood test for pregnancy and they were both negative. What could be the problem?",1
Nikuulize Kama breast yangu imefura hapo juu moja tu why is that,1
Can someone become thin becourse of having sex and how can I improve my body size quickly,1
2023-12-29T13:12:01.485233Z,1
2024-08-22T16:31:01.521402Z,0
by,1
1,1
If a guy shows interest in you alafu ukuwe hauko ready kugive in juu nimejieka celibate is it bad to tell him ??,1
"Nilikuwa napenda my bf saana but akaanza kunicheat namsanehea anarundia Tena tena ikafika mahali nikachoka na feelings zikaisha lkn Bado nampenda, ntafanya aje nikue namfeel kama kitaambo.?",1
How do you work and what type offer do you give out,0
Okay nilikuwa nauliza is it healthy to have sex on my period ...if not what's the disadvantage of it,1
3,1
*Sometimes I feel I can't have sex with my boyfriend and it can affect my relationship coz we stay together...wat can I do wen I feel so af upate yeye anataka,1
Niko na pimples Kwa groin hair na inatoka puss iyo ni stl😭,1
One of my frnds told me tht at her pleasure she feels pain in her genital bt I don't know to tell her,1
Ok so I went to see my boyfriend while on my sec day of my period and we had sex but my period still continued and ended .....could I still get pregnant ?,1
Can I ask now,1
Which medicine can I use to treat the yeast,1
How do u know ur pregnant,1
I feel like giving up,1
"My concern ni the after period smell..., Just the following day after the last day of my period i experience some smell why??",1
"Ok mm during sex I just wet for minutes after that I get dry completely,na it ends up kukua painful kwangu ,am I ok? naogopa kuenda hoc",1
I was asking which contraceptive/femiplan is good for a newly mother,1
How exactly does one deal with sexual tensions and cravings,1
"I'd like to know ways to have a safe sex😂. 
I've been anxious and I don't know what to do. I'd like to hear from you on how I can have safe unprotected sex and free from hiv infections and stis",1
2023-12-29T07:04:01.741988Z,1
Does canida iko under STI,0
I have a bad oduor kwa vagina,0
"If u are having more discharge and not with any STI,how will I reduce?Do contraceptives increases vaginal discharge?",1
What is the best way to treat Sti,1
Which style is most suitable for first time sex,1
2024-12-11T15:35:01.469982Z,0
by,1
Being in love with a married man,1
Sasa nko na mamaa na ameniitia mechi kesho usiku...na amesema she needs a good game Sasa apa kwa good game ndo najiuliza how good is a game?,1
I have some kind of symptoms na sijui kama inaweza kuwa ni STI ama UTI,0
Some options to grow my sex and relationship,1
Ok let's say I am addicted to masturbation then  nimeacha. Nikihave sex namwaga haraka because of effects za masturbation. Is there any way I can improve in sex performance ama hiyo effects ni permanent??,1
I just want to learn about contraceptives,1
2024-01-31T10:17:01.412249Z,1
How can I improve my performance in bed cause i us to lust for 2min,1
2023-10-22T10:43:01.510549Z,1
Do ladies also get horny,1
I slept with my bofriend on my last safe day period and can i get pregnant,1
How do I calculate my safe days yet I have irregular periods just to be safe when having sex with my partner,1
Two weeks after sex can emergency pills work,1
Nitumie nudes,0
2023-11-15T20:55:01.180614Z,1
Sawa so a guy had unprotected sex with me two weeks ago i felt pain son we stopped almost immediately and he didn't finish at all now im 5 days late for my period what should i do and i have a boil on my vagina that came 2 days ago,1
Niko na vidonda painless on my private part na huwa zinatoa uzaa,1
What are the effects of masterbation,1
2024-02-26T15:15:01.373577Z,1
"Hello,..I need your advise,..I have never had sex with anyone and am currently single but when I am in a relationship I do foreplay with my partner like kissing, caressing but no fingering and penetration....I am not ready to have sex yet but sometimes when am single I masturbate sometimes once in a while because am human I get horny sometimes,...is it bad to do so?",1
Is it good to have sex n condom for a first timer,1
Uko aje🤣,0
I have a lot of cramps during mensuration na nimetumie madawa na haziwork ...shida ni nini,1
"After having unprotected sex, with what time should one take P2?",1
How many types of pussy do you have on your data,0
Am i pregnant or not because i havent had my periods yet,1
How can i treat cramps during my period?,1
I have fallen in love with someone... And soon is planning to go abroad... My partner promise to vone back for me and that stuff... I dont know if i should continue with the relationship or quit,1
Ok there's this boy who claims he likes me but am not so sure if he loves and he wants to have sex with me,1
Yup!,1
Can I find a partner here,0
2023-11-27T15:58:01.695843Z,1
"I wanted to ask ,,,, If I did a mistake on getting pregnant without informing my boyfriend",1
Naeza pata namba za save for save,1
Bytheway naongea n nn plzz,1
My boyfriend always touches My boobs and it pains how can I tell him to stop and he also pinches my nipples till they leak milk it's too painful what should I tell him?😭😭,1
2023-09-22T14:14:01.376747Z,1
How can I make my love relationship healthy and going,1
