text,prediction,human_label
Nkona mpoa... I am supposed to be going job next year.. job ya majuu I really love my man .... we discussed about it akadai mih nifocus na dream yangu .... is he real ama si mse mfitti... ?? Ama ananiambia niende ndo apate dem mwingine?,1,1
2023-10-19T16:02:01.449269Z,1,0
Request online chat,0,1
2024-05-06T14:11:02.129328Z,1,0
2024-05-20T13:09:01.153557Z,1,0
2024-01-02T19:23:01.401545Z,1,0
Hello last month periods zangu zilikam kama clot like vitu zimeshikana so I was wondering if that's normal,1,1
Naeza pata namba za save for save,1,1
How to deal with a toxic girlfriend,1,1
Mse anafaa kutake pills each time anahave sex ama Iko na limits per month?,1,1
What is the meaning of depression,1,1
"If your doing sex then you released outside in the first round, the second round you released insidd can the girl conseave or pregnate",1,1
In which condition can an emergency contraceptive pill fail to work efficiently,1,1
"nikinyesha napatanga vitu zinakaa pimples but they aint pimples na nikizifinya huwa hazitoi maji instead they get painful,,,,,,,,na haziiishi what could be the problem",1,1
"Im at that point where suddenly i dont have friends nabaki kwa nyumba whole day crying ,sleeping like nothing in my life is going well",1,1
Periods zangu hazikam vizuri,1,1
How can I know if my partner loves me,1,1
Can HIV aids transmitted through sperms,1,1
I experience itchiness and an awkward discharge after my periods it's quite uncomfortable,1,1
What birth control do you recommend for a 19yr old?,1,1
2023-12-13T16:10:01.205278Z,1,0
Mbona pads hufichwa na gazeti ukibuy?,1,1
2023-11-15T20:55:01.180614Z,1,0
"I have irregular periods,so this time I started and they stopped the same day but bado cramps zilikuwa then nikakaa for like one day halafu ikaanza tena but in a more painful way ,is it normal?",1,1
Is it okay to date as a teen,1,1
What days am I safe if my periods started on 23April and ended on 27April?,1,1
Want to know more about Viagra pills,0,1
"Mmmmmh the first time I had sex ,,  sikutumia   protector so  inabidi nmetumia P2 ofwc ilifanya menstruations yangu kuwa regular sasa sijui exact day nanyesha then  ,,",1,1
Uko aje,0,1
Of late my vagina imeshinda ikukua wet sana kuna shida,1,1
Safe days zako za kuhave unprotected sex  after your periods hukuwa ngapi?,1,1
Which kind of family planning is good ?,1,1
Msee akidai nguvu za kiume  ?,1,1
2023-10-18T19:10:01.653596Z,1,0
"I have a girlfriend and she is 1month pregnant so I was asking what am I supposed to be doing or what is she supposed to be doing as from now ,,cause its our first child...??",1,1
Yup!,1,0
2023-12-16T20:43:01.519537Z,1,0
"I produce a smelly discharge,,what can be the problem",1,1
Am 20yrs and am a virgin but I really want to have sex but am afraid,1,1
"So I've been talking to this guy for some time now..tumeenda date moja na nafeel that through our communication, aspect ya intimacy inacome up sana...na feel scared kuenulge kwa anything, juu siko comfortable sana na my own skin..kuna pressures mingi kutoka my friends, convo mingi ni kuhusu intimacy na I feel like I'm weird or something is wrong",1,1
Which style is most suitable for first time sex,1,1
Can the breast be of the sama size,1,1
What about nikikunywa maji after sex,1,1
"All my mates wakona boyfriend na girlfriend,while, Am still single.I can't bare, The feeling.wat should I do?",1,1
by,1,0
What course the smell that come from Virginia,0,1
Kuna shida if you boyfriend anakuweka kidole wakati mna make out?,1,1
Does morning pill work during ovulation,1,1
Can I have sex while having this severe pain while urination,1,1
Is virginity necessary for a happy marriage?,1,1
Nimekuwa na periods from 6th oct until date na nimeenda hosi nikapewa dawa na haziishi,1,1
"Well, I get many people saying vile I'm pretty alot even babies,my agemates and older people but I don't get guys who I'd want to have ni nini nafanya wrong kwani...",1,1
I'm I really supposed to feel insecure after hanging out with a guy whom is not classed as my boyfriend .... then realize that he is known to many ladies,0,1
How can one del with a hearbreak,1,1
My question is i have being engaging in unprotected sex for about 5 months with my man and all this while amekua akimwaga ndani like am supposed to be pregnant yet am not concieving ...nime move in na yeye and we engage in sex almost daily but still sipati ball ......mimi badw nanyesha kila mwezi .....am wondering what  may be the problem with me,1,1
2023-10-15T18:45:01.481822Z,1,0
My boyfriend always touches My boobs and it pains how can I tell him to stop and he also pinches my nipples till they leak milk it's too painful what should I tell him?😭😭,1,1
𝚒𝚜 𝚒𝚝 𝚗𝚘𝚛𝚖𝚊𝚕 𝚏𝚘𝚛 𝚊𝚖𝚊𝚗 𝚝𝚘 𝚊𝚕𝚠𝚊𝚢𝚜 𝚊𝚜𝚔 𝚑𝚒𝚜 𝚜𝚎𝚡 𝚙𝚊𝚛𝚝𝚗𝚎𝚛 𝚝𝚘 𝚛𝚒𝚍𝚎 𝚘𝚗 𝚑𝚒𝚖 𝚜𝚒𝚗𝚌𝚎 𝚝𝚑𝚊𝚝𝚜 𝚝𝚑𝚎 𝚘𝚗𝚕𝚢 𝚠𝚊𝚢 𝚝𝚘 𝚜𝚊𝚝𝚒𝚜𝚏𝚢 𝚑𝚎𝚛 𝚊𝚜 𝚑𝚎𝚜 𝚠𝚎𝚊𝚔 𝚠𝚑𝚎𝚗 𝚑𝚎 𝚛𝚒𝚍𝚎𝚜,1,0
When should someone do a raw sex na asipate ball,1,1
Mbona breast moja huwa biggy than the other,1,1
2024-04-18T15:18:01.233083Z,1,0
I just want to learn about contraceptives,1,1
"AM 21old,and my girlfriend she 23old,so my question is..Does this will work realy?",1,1
How long does mensuration last,1,1
isn't normal to miss period for more than 3 months and you aren't pregnant,1,1
Kuna venye being not circumcised affect mseee when smashing😂,1,1
unakuwaka wp,1,0
"Mtu anaweza toa mimba ya miezi nne kwa kutumia njia gani?, isipokuwa dawa...",1,1
2024-09-20T13:10:01.670633Z,1,0
Hello! Can I get this video...I need my friend to get this information she is not on Instagram,0,1
Na hii wazii ina maanisha nn,1,1
"Is it okay when a partner doesn't want to tell you things that concern him and he use to do that before?, , Is it manipulation if a partner all over sudden starts being harsh even when he's wrong so that you don't question them any more?, , What should I do when a partner is a drunkard and a lier?",1,1
my siz told me today that in school walikuwa wanapewa punishment cause most of them walicopy and mwalimu aliwauliza kama alicopy but yeye hakujibu akabaki kama ameketi then class ikasema eti yeye alicopy and it was true but she defended herself then class teacher akamuambia aende Kwa principal office but hakuenda alidhani ni obvious jokes za teacher she is asking for an opinion and what she would do?,1,1
What causes ectopic pregnancy,1,1
How to avoid pregnancy,1,1
Why didn't i receive any response,0,0
How can I know the best family planning method for my body?,1,1
Is it normal to have pain cramps after period and blood spotting?,1,1
What if nlihave sex like 24hrs ago na sidai kutake pills kuprevent ball which other method can I use?,1,1
Kma mse anatoka discharge yellowish ama bloodish kwa breast moja inaeza kua sign ya nn ama ni shida gni ako nayo,1,1
6,1,1
issue,1,0
Waxing or shaving?,0,1
"So my period is 25 days late. It's never late. My cycle ranges from 28 to 34 days., I did the urine and blood test for pregnancy and they were both negative. What could be the problem?",1,1
Does one have to peak or orgasm to get pregnant?,1,1
"What if before alete huyo dame nilimuongelesha nikamuambia mimi staki amlete ila bado tu limleta, wanaishi wawili kwa.single room.",1,1
My beb ni kama ananicheat aki ntajua aje,1,1
3,1,0
"If u are having more discharge and not with any STI,how will I reduce?Do contraceptives increases vaginal discharge?",1,1
I feel like giving up,1,1
Is it good to have friends with benefits? Juu like currently am not dating but sometimes i feel i need a man for sexual desires,1,1
Mbona kijana hawezi kaa  bila dem,0,1
is it normal for someone to masturbate?,1,1
Is it true that one can fail to enjoy vaginal sex...?and what could be the reason behind it? What's the solution,1,1
After sex mbona uki Kaa sana unafeel pain Kwa mgongo,1,1
2024-01-30T14:42:01.864904Z,0,0
Mental health,1,1
How can I confirm one week pregnant,1,1
Yup!,1,0
2024-05-09T19:07:01.222357Z,1,0
Am in a relationship where tuko wawili but the other girl is outside the country and she is coming back after 20 years and the boy alimchoose coz the girl used to send him money and at the same time the boy tells me he lives me that he loves both of us and the friend to the boy told just to chill aty dem akue akituma doh tukule i don't know if the boy loves me or he loves the other girl coz he doesn't want me to move on he also told me that ako na haja na hii maisha yangu hapa mbele,1,1
How can I get a girl .......since I have never  approach any,0,1
2023-12-15T13:18:01.218657Z,1,0
Lend me with ten thousand I pay fees for my brother and pay house and buy something to eat I'll refund back please and God will bless you please,0,0
2023-12-14T17:44:01.360647Z,1,0
"I have this recurring signs ,,, itching kwa vagina na thick white discharge that stick on the vaginal walls,,,it comes and goes after sometime,,,huwa inarudi like after two months",1,1
How can one heal from a seven years. Relationship heart break,1,1
I have a question periods zangu zimemiss hii month but cjakuwa na penetrative sex the last thing we did was dry humping with my man can I get pregnant for I am really worried about it.,1,1
I was asking about relationship yunno mimi ni introvert na unajua how tunakuwanga so like I needed some advice on how to start a relationship with someone hope unaniget,1,1
2023-12-01T11:50:01.442484Z,1,0
"Wife wangu Ako lazy mbaya, kunifulia nguo inabidi ka nmemkumbusha,,, To make the matter worse yeye hukulia jikoni , me hukula peke yangu dining room,,, and our family is still young we have two kids, But ameniboo mbya Should I divorce",1,1
Am i pregnant or not because i havent had my periods yet,1,1
Ok there's this boy who claims he likes me but am not so sure if he loves and he wants to have sex with me,1,1
3,1,0
If a guy shows interest in you alafu ukuwe hauko ready kugive in juu nimejieka celibate is it bad to tell him ??,1,1
by,1,0
I have a lot of cramps during mensuration na nimetumie madawa na haziwork ...shida ni nini,1,1
How does someone get confidence and be sexually active after worst experience in relationships that made her not to like sex,1,1
6,1,0
Can I ask now,1,1
What are the early signs of pregnancy,1,1
So apparently nikona shida na sijai pata solution uncle yangu alinislap akanipiga ju nilienda Ku visit my divorced father ju waliachananga na mum namwonanga naskia apana sjai msamehea ju si rahisi nidoo,1,1
I have some kind of symptoms na sijui kama inaweza kuwa ni STI ama UTI,0,1
Ukitake p2 chances za kuget pregnant ni?,1,1
2023-12-30T13:45:02.208912Z,0,0
What are the effects of masterbation,1,1
2023-12-22T15:18:01.271911Z,1,0
do you support Lesbianism and guy,1,1
Naeza Fanya aje kudeal na toxic environment from my parents,1,1
2023-12-16T19:52:01.267800Z,1,0
What is the Best age to loose virginity,1,1
Okay thanks,1,0
Why is that many of youth living with HIV are in fear mostly they are weak and sad,1,1
Yea,1,1
2023-12-17T15:12:01.631377Z,1,0
ni poa kusumbuana,1,1
2023-09-22T14:14:01.376747Z,1,0
is there any posibbility mtu kupata bol after umehave sex na atumie p2,1,1
"I need to start family planning which one is the best and second , 2 if someone has never gave birth can you use family planning",1,1
Do ladies also get horny,1,1
Yeast infection ni sti,1,1
"Nilikuwa napenda my bf saana but akaanza kunicheat namsanehea anarundia Tena tena ikafika mahali nikachoka na feelings zikaisha lkn Bado nampenda, ntafanya aje nikue namfeel kama kitaambo.?",1,1
2023-12-29T13:12:01.485233Z,1,0
Is it bad for being a virgin,1,1
For how many hour mtu anafaa kua na pad??,0,1
What the right to date,1,1
How about masturbation,1,1
Mwanaume anafaa kuvaaa condom aje,1,1
How do I make the lady who made me join this platform my girlfriend. She's cute I really like her,1,1
2024-05-17T18:05:01.508411Z,1,0
Dem wangu ananicheat,1,1
Naezafanya aje ndio my love anipende zaidi,1,1
Why do I experience lower abdominal pains,1,1
Nitumie nudes,0,1
Can I have a normal life after having a child in my teen years,1,1
How long should sameone date,0,1
I am a girl but I sometimes crush on girls.what should I do,1,1
I don't have a girlfriend,0,1
Mtu anaeza beba mimba ya watu wawili,1,1
Naeza do nini to keep our conversation going with my boo,1,1
by,1,0
Nimekua nilitumia depo for the last 9months...let's say a year na cjawai nyesha Hadi leo is it normal,1,1
How to prevent pregnancy as a man,1,1
Naweza mix pills zakumeza,1,1
Why do I feel that relationship's are boring,1,1
2024-11-22T08:14:01.466788Z,0,0
"My perineum inawasha na a smelly discharge inatoka, Nimemeza antibiotics mob sana na pia injections but haiishi",1,1
What are the earliest signs of STIS,1,1
Niko na pimples Kwa groin hair na inatoka puss iyo ni stl😭,1,1
What's the group about,1,1
What are the side effects of depo,1,1
2024-02-26T15:15:01.373577Z,1,0
What to do after sex ...like the aftercare...,1,1
issue,1,1
Musturbation Hai reduce sex duration,1,1
Oky,1,0
"Dem akiweka depo, inaeza cause UTI",0,1
Can I find a partner here,0,0
Some nasty texts that I can send to my boyfriend and turn him on immediately,1,1
Hivi Mpera ni dawa ya kuzuia mimba,0,1
3,1,0
Kuna watu hawapatangi pleasure from sex?,1,1
Mmh it's all about my body. I Wana ask how to make my breast  still  to stand strong? What should I do?,1,1
Uko aje🤣,0,1
Like is wazii on what's app,0,1
Sex inaezafanywa na mtu yeyote.l mean  hata under 18,1,1
What does discharge ya yellow and look more like a york indicate bt it is not smelly,1,1
Some options to grow my sex and relationship,1,1
How can I fix my relationship after entertaining another man in my life,1,1
2024-04-25T10:29:01.443805Z,0,0
"My lady is experiencing burning sensation,, while urinating (Q) is that UTI",1,1
Nataka kureduce boobs. Is it possible?,1,1
How can a girl feel like she is sexual harassed,1,1
Bytheway naongea n nn plzz,1,1
due,1,0
TRUE,1,0
"so kuna this guy i really like na he says he likes me too lakini hanipei attention,alafu ni kama hataki kuonekana na mimi,,,sasa what should I do?",1,1
Is preventing ku cum fast possible after masturbating for a long time?,1,1
"Am lazy ,I feel tired and am worried juu ndio naanza semester like nataka kukua energetic....unaeza nipea tips",1,1
2023-11-15T07:26:02.066637Z,1,0
Mtu anafaa kuhave sex mara ngapi week,1,1
How effective is contraceptive,1,1
I'm currently in a three years relationship with a guy n off late he's been acting funny since last year October......I found out he's in a relationship with his baby mama and the mode of their convo is kinda suspicious.....I asked but he denied the whole affair and stated that they only talk of the child's welfare........around last week or so he posted her on WhatsApp n screensaver to his phone.....wen I asked he stated that it was a dare.....his behaviour has tremendously changed yet he keeps claiming to love me and does not want to lose me.....I'm kinda confused with where I'm in his life,1,1
"Kwa relationship,like a marriage,ukioa mdem mwenye anakuzidi salary, like for example,anaearn 100k na we as a man of the house unapata 60k,how is your view about that, like who is now the end of the family hapo",0,0
What happens when I take emergency pills three times within a one week?,1,1
3,1,0
Mbona my breast nahisi uchungu alf my nipples ni ngumu especially ikishika maji na inakaa kama imecrack karibu na nipple,1,1
Who is the head of the family,0,1
by,1,0
Ok let's say I am addicted to masturbation then  nimeacha. Nikihave sex namwaga haraka because of effects za masturbation. Is there any way I can improve in sex performance ama hiyo effects ni permanent??,1,1
This is for what suarly,1,1
"Aky nimekua na stress ,ihave agour month baby and I had unprotected sex the next day nkachukia planB na nimekua na craps,na nilikua sijaona periods",1,1
2,1,0
How to control if in need of a girlfriend 💕,0,1
3,1,0
5,1,0
Do men need woman?,0,1
