test_text,retrieval_id,cos_sim,cos_distance,kmeans_label,openai_label
2023-09-09T04:14:01.198385Z,137,0.2788853,0.7211147,0,0
Ukitumia contraceptives kama pills ama depo zikona effect in future like kupata mtoi and the rest?,74,0.7012609,0.29873908,1,0
uses and benefits of Sadie rose essence moisturizing cleanser,43,0.15867412,0.8413259,0,1
How do you handle a guy with alot of anger issues,38,0.3519543,0.64804566,0,0
Yup!,203,0.2900519,0.70994806,0,1
Ok,232,0.36119136,0.6388086,0,1
Can someone get paged on their safe days??,277,0.28391314,0.71608686,0,0
I'm ama I was bisexual and my boyfriend doesnt like it .... Others ako sawa but me apana and we almost broke up coz I almost got sucked in again I don't know what to do coz I love him and I'm scared it always comes back,95,0.43758872,0.5624113,0,0
Kwanini ukidarwa boobs zinakuanga kubwa,140,0.5825103,0.4174897,1,0
Ok soo nilikuwa na uliza nipoa kukulana sahizi nikiwa mdogo ama?,151,0.68491256,0.31508744,1,0
2023-09-28T17:50:01.293969Z,137,0.2829989,0.7170011,0,0
Heartbreak 🥲,146,0.45083138,0.5491686,0,1
2023-09-25T15:38:01.226834Z,137,0.28292853,0.7170715,0,0
How to end the urge to f sex Everytime,78,0.4855601,0.51443994,1,0
2023-11-25T21:30:02.070584Z,137,0.28372532,0.7162747,0,1
😭😭niko kinda depressed koz huwa natry my best nipass kwa exams zangu but all is failure na my parents are not understanding me kila time n pressure wat should I do,22,0.49863985,0.5013602,1,1
How does fertilization take place,57,0.57662654,0.42337346,1,0
2023-11-23T10:04:03.637888Z,329,0.24965246,0.75034755,0,0
2024-11-01T20:29:01.321541Z,137,0.27126023,0.72873974,0,1
Is it okay to take bee pollen while on implant?,302,0.41895914,0.58104086,0,0
Can a girl get pregnant during her period,198,0.46011546,0.53988457,1,0
I had a boyfriend mwenye out of the Blues ameniambia hanidai tena,135,0.5890169,0.4109831,1,0
What makes cramps unbearable.....so that I can avoid it,256,0.59054655,0.40945345,1,1
Nauliza aje  in arelationship is it safe not to communicate with partner for one week under the same roof in the name of kukosana,63,0.5565878,0.44341218,1,1
👆,210,0.48870382,0.51129615,1,0
Am suffering from masterbation na nimetry kustop bt nime shindwa what can I do to stop...,143,0.6097667,0.39023328,1,0
Can i fuck you,270,0.3044012,0.69559884,0,0
What are the short or long term effects of using depo,32,0.48145667,0.51854336,1,1
Is it good to be a lesbian😁,39,0.36380312,0.63619685,0,1
Pills zinaeza toa ball,88,0.54141736,0.45858264,1,0
"Does using cd (Trust), prolong UTI while under treatment for it",243,0.33763412,0.6623659,0,0
Implantation blood hutoka after how long,223,0.5082264,0.4917736,1,1
What pills can you prescribe to abort 4 weeks pregnancy,26,0.47278944,0.5272106,1,0
Can I get a job here,155,0.3066181,0.6933819,0,0
Dem akiwa na crumbs anafaa kufanya sex?,140,0.728498,0.27150202,1,0
The thing is I'm biosexual,324,0.42755777,0.57244223,0,0
Nimemiss periods zangu for one month and I'm scared.. Nifanye nini?,17,0.6438233,0.35617667,1,1
So i have a gf that has a favourite cousin who is a male and every time we have a convo she always involve him and that makes me be jealous and doubt her love for me,216,0.3906636,0.6093364,0,1
𝙢𝙮 𝙜𝙞𝙧𝙡 𝙛𝙧𝙞𝙚𝙣𝙙 𝙖𝙢𝙚𝙣𝙞𝙨𝙝𝙤𝙬 𝙢𝙖𝙢𝙖𝙠𝙚 𝙖𝙣𝙖𝙩𝙖𝙠𝙖 𝙠𝙪𝙤𝙣𝙜𝙚𝙖 𝙣𝙖 𝙢𝙞𝙢𝙞,168,0.38536257,0.61463743,0,1
I want to get an abortion 💔🥹,124,0.4183309,0.5816691,0,0
Mimi nimetumia contraceptive for sometime like nilianza na depo but sikuona periods for hizo 3 months then nikaacha nikaanza kutumia pills but nilikua advised ukitumia for three months utanyesha daily after niliacha kutumia sijawahi ona periods for something like 2 months now Shida inaeza kua gani,165,0.75827724,0.24172276,1,0
At what age should I engage myself into a relationship?,97,0.59657246,0.40342754,1,0
.,210,0.2605435,0.73945653,0,0
Period Zang irregular naeza aje zirudisha  aje zikue normal 28 do npate mimba rahisi,190,0.68242425,0.31757575,1,1
So nilimeza p2 when I was ovulating and I bled twice after that na sijableed tena...when I went to the hospital nothing showed up kwa the ultrasound...nini inaweza kua mbaya,202,0.57840353,0.42159647,1,1
when someone make you feel uncomfortable with rash word daily which is the best choice to make?,252,0.43856737,0.5614326,0,1
nimekuwa na addictive ya kumasturbate na nashindwa kuacha..nitasaidika aje?,126,0.63374054,0.36625946,1,0
Signs and symptoms of breast cancer,256,0.3041118,0.69588816,0,0
What do you do when your in a situation of heartbreak and you feel like giving up😢,191,0.3921056,0.6078944,0,1
How to prevent STIs,61,0.7291978,0.2708022,1,0
Can one get accurate results after doing a pregnancy test after two weeks,299,0.37277484,0.62722516,0,0
I have a 5months kid can i get pregnant once I have sex,73,0.4363201,0.56367993,0,1
Nasema nimepata c plain ni advice nifanye course gani iko kwa market,237,0.52176034,0.47823966,1,1
What are the functions of sperms Kwa mwili ya mwanamke when deposited inside,241,0.6502717,0.3497283,1,1
How do you differentiate between a  virgin girl and a girl in periods when you first lay with her?🤷🏼‍♂️,233,0.5889322,0.41106778,1,0
2023-11-10T22:12:01.276413Z,137,0.25954467,0.7404553,0,1
Okey ... Mtu hu bleed,98,0.45904496,0.54095507,1,1
Can i start perioda at 15yrs,198,0.53002375,0.46997625,1,1
Yup!,203,0.2900519,0.70994806,0,0
2023-11-19T17:17:01.208718Z,137,0.2638603,0.7361397,0,0
What is an EC pill,114,0.4127656,0.5872344,0,1
8,99,0.24936497,0.750635,0,0
Okay am stud am in love with this girl,55,0.34904972,0.6509503,0,0
What does it mean when you pee blood n it's painful to pee,145,0.4242998,0.57570016,0,1
Can someone get pregnant from rubbing their vagina on a man's penis. What if he's wearing a condom,5,0.4811176,0.5188824,1,0
Nini inaweza fanya mtu asipate mimba na hajawai tumia contraceptive? Na mtu anaweza fanya aje kuincrease chances za kupata mimba,110,0.8245479,0.17545211,1,1
The reason why girls feel pain in nipples,256,0.53353083,0.46646917,1,0
What can i use to prevent myself from hiv after sex,61,0.6036005,0.3963995,1,0
2023-10-26T21:09:01.421171Z,137,0.28290978,0.71709025,0,1
"Hello, I am single, no man wants to date me because I can't sex with them, I am not ready for sex and I also fear getting pregnant at the moment because I am not financially stable. Am I doing the right thing or I am keeping away suitors? I am 25 years",234,0.4368016,0.5631984,0,0
Skip,288,0.27350834,0.7264917,0,0
I feel like my boyfriend is cheating on me I don't know what to do,16,0.3751775,0.6248225,0,0
Nitafutieni mtu,151,0.6459224,0.35407758,1,1
Ways to express your feelings without looking desperate,4,0.3357098,0.6642902,0,1
Periods humiss,190,0.506417,0.49358302,1,0
Effects ya three monthd shot to a person having one fallopian tube.....inanisumbua sana kila saa ni damu,32,0.5604801,0.43951988,1,1
Okay I'm still a virgin afraid of loosing my Virginity what should I do,45,0.62152827,0.37847173,1,0
How's the right way to use condoms to prevent STIs,61,0.6963052,0.30369478,1,0
Is it true that you will get attached with the guy you first had some sex with,277,0.44303355,0.5569664,0,1
okay what is the best way to treat dark spots?,292,0.24700087,0.7529991,0,0
Na msee akiwa sexually active na watu wawili what happens is it the right thing,118,0.6568489,0.3431511,1,1
What kind of gift can I buy my boyfriend during Christmas,298,0.2128024,0.7871976,0,0
How do you get over someone you love too much,191,0.34642723,0.6535728,0,0
2023-11-23T06:13:03.646118Z,329,0.25702804,0.74297196,0,1
"So there's this girl I  really like,,,she told she's also a secret admirer to someone and I also told her that I am a secret admirer to someone but hajui ni yeye,,,we usually talk on phone but we've never met. Should I tell her I love her ama niache tu? Cause I feel her but I don't if she feels me",55,0.52392316,0.47607684,1,1
Setting boundaries...... which and how,219,0.39142257,0.60857743,0,1
ni contaceptive gani dame wangu anaweza tumia other than condom,110,0.7945354,0.2054646,1,1
Is it right to give your girlfriend allowance mkidate ama when should you give a girl an allowance?,97,0.31827536,0.68172467,0,1
Is it normal for periods kucome twice a month,18,0.58062124,0.41937876,1,0
Best sex position,330,0.4936112,0.5063888,1,0
When is the right time for someone to get pregnant and settle,234,0.5141541,0.48584592,1,1
by,224,0.23938023,0.76061976,0,1
4,232,0.23053952,0.7694605,0,0
I get horny always when I'm with my partner is that a problem,186,0.41330692,0.58669305,0,1
Is it a good idea kurudiana na ex mwenye alikuacha na bol,252,0.56129,0.43870997,1,0
Mtu anaeza fanya ajy kujua if mtu wake ako pregnant,239,0.63812864,0.36187136,1,1
Niko Kwa uhusiano na kijana Lakini yeye hunionyesha madharau na hapendi kuongea na mimi,83,0.70298105,0.29701895,1,1
How do you build confidence before socialising,4,0.4012114,0.5987886,0,0
2023-12-11T18:48:01.191590Z,137,0.26221463,0.73778534,0,1
Ok  like a girl how do we maintain our sexual  anxiety in either campus,111,0.48889285,0.51110715,1,1
I've never heard sggs I'm kinda scared of it but I wanna know how the cndm goes inside a women's body,112,0.38681057,0.61318946,0,0
It’s issie help me with my boyfriend,257,0.50019085,0.49980915,1,0
Baadae,139,0.43959045,0.56040955,0,1
2024-10-04T16:52:01.137840Z,137,0.2446163,0.75538373,0,0
Ok why do girls have diff  body shape?,324,0.4084436,0.59155643,0,1
Ni red flag if dem yako hataki umvisit kwake,337,0.5514725,0.44852751,1,1
Is it that am a loner or coz I have no friends I hear many people speaking of having best friends and for me I have never gotten even one close friend who I can talk to what might be the reason,162,0.24615635,0.75384367,0,0
Mh huskia mtu akiwekwa family planning kama hajawai jifungua inaweza kuwa na side effects is it true?,110,0.69155025,0.30844975,1,1
"So, I'm still a virg at 24, I want to know all about sex",275,0.57167214,0.42832786,1,0
Mpenzi wangu anapost picture yangu na yeye fb na baada ya mda mfupi anafuta shinda n nini,157,0.51638526,0.48361474,1,0
What's your thought on weed intake for purposes of spiritual alignment?,143,0.18795404,0.81204593,0,0
issue,47,0.37174484,0.6282551,0,1
No,203,0.31098068,0.6890193,0,1
Actually I tried this thing Sex for the first time  with my boyfriend and we did it raw then after wards nikakunywa p2 so after taking this p2 my periods delayed for a week so my man did take me to the lab na tukapima tukapata negative so i was asking what caused me for not getting my menses,26,0.53218,0.46782,1,1
Can I video call,29,0.31793317,0.6820668,0,1
I got my first pregnancy on august and got miscarriage i didn't know nko ball and before knowing that i took pills za minyoo cld it be the cause of it ama zii,179,0.6355858,0.36441422,1,1
Kila msee nalala nae ananishow nimempea STI na me sioni symptoms zozote kwa mwili yangu 💔,11,0.5737327,0.42626733,1,1
"Can I reduce my sexual urge?,    Is masturbation healthy?",143,0.5689642,0.43103582,1,1
Unaweza lala na mtu bila   mpira,151,0.6954139,0.3045861,1,0
3. No. Not today,232,0.26404282,0.73595715,0,0
3,232,0.25455728,0.74544275,0,1
When should I take an emergency pill after having unprotected sex?,341,0.61188054,0.38811946,1,1
Ni nini inaeza kuwa shida wakati mwingine nachomwa na mkojo,237,0.7162244,0.28377563,1,0
Have been low ...na nko pregnant....natafuta wat l can do to support me and the child,328,0.40603277,0.5939672,0,1
Ni siku ngapi Dem anaeza count after periods ndio afanye sex  bila kushika bol,173,0.65349364,0.34650636,1,1
Sign za kujuwa dem kama ako na ball ni gani ?,331,0.7664873,0.2335127,1,1
3,232,0.25455728,0.74544275,0,1
Turudi hapa,139,0.55330217,0.44669783,1,1
What could be the reason ukifanya sex na dem akatae kupata ball,259,0.66308683,0.33691317,1,1
2024-11-01T08:43:01.571258Z,137,0.26779157,0.73220843,0,0
Love problems with my partner,47,0.47313133,0.5268687,1,1
Naeza taka kujua more about sex and advantage and disadvantages of sex,182,0.6414056,0.35859442,1,0
How do I know if am pregnant,299,0.5902789,0.40972108,1,0
"Lately I've been feeling like vomiting na nasuea na sijaget periods zangu bado, can I be pregnant?",202,0.56863654,0.43136346,1,1
Ukitaka kupea cuzo yako unafanya,83,0.62641114,0.37358886,1,1
During sex dem akitoa white discharge it means,82,0.6390629,0.36093712,1,1
ni contaceptive gani dame wangu anaweza tumia other than condom,110,0.7945355,0.20546448,1,1
Yup!,203,0.2900519,0.70994806,0,1
Nitafanya aje ili ni last long kwa bed,293,0.58637404,0.41362596,1,0
Nilihave sex with this guy on 26th December and we didn't use protection and know na feel a certain funny smell coming from my vagina so can this be normal ama ni uchafu cos si get what is happening,82,0.511044,0.48895597,1,1
Okay kuna this lady I have a crush on but but kuna vile ananilenga,240,0.46759754,0.53240246,1,0
Is it advice able,305,0.24684513,0.7531549,0,1
Can you fall in love with someone that u have not see you. Only talk very day,295,0.40432128,0.5956787,0,0
periods zangu zimekuwa hazikuji Kila month sababu ni nn,62,0.671397,0.32860303,1,1
In what ways can I make my gf the happiest girl coz she deserves it,258,0.26712325,0.7328768,0,0
My sister anafeel kujikuna sehemu ya siri alf ametokwa na vitu za white 2weks now na n mingi hadi zinatokea kwa nguo...nini inaeza kuwa shida,171,0.60712004,0.39287996,1,1
Do you get pregnant when ovary moja imekuwa enlarge,66,0.57302785,0.42697215,1,0
Nini hushababisha dick kulala ovyo ovyo wakati wa sex,140,0.71678996,0.28321004,1,0
Dem anaweza mwaga akidarwa usiku akiwa amelala usingizi?,171,0.65880585,0.34119415,1,0
"Just wanted to ask, how does it feel when want to do sex for the first time.. And can I get pregnant without using protection",12,0.61702085,0.38297915,1,1
Naeza pata ball bila ejuculation,314,0.703014,0.29698598,1,0
2024-04-30T13:00:01.570788Z,137,0.25570047,0.74429953,0,0
So what should I do to stop,73,0.4072246,0.5927754,0,1
Okay beshte yangu amekua akijaribu kupata ball na imekuwa iki bounce,340,0.6714368,0.3285632,1,1
How can. Someone know that her vagina is loose,233,0.48026896,0.51973104,1,0
so from March have been having a smelly discharge after my periods 😭 what could be the cause,150,0.5019097,0.49809033,1,1
What causes very heavy and  redish discharge yenye inakaa period,150,0.5491749,0.4508251,1,1
Ok,232,0.36119136,0.6388086,0,1
Is it possible to be pregnant when you've sex immediately after periods?,57,0.46030417,0.53969586,1,0
Nataka hiyo story ya consent in relationships,182,0.6765236,0.32347637,1,1
How can y you prevent masterbation,78,0.52894527,0.47105473,1,0
Why are boys erecting faster,57,0.33845758,0.6615424,0,1
2023-10-26T05:54:01.126007Z,137,0.2621272,0.73787284,0,0
I have a fleeting attraction what should I do?,115,0.42058465,0.5794153,0,0
100,99,0.36912367,0.6308763,0,1
Nah!,203,0.31322604,0.68677396,0,0
What are the signs of breast cancer,256,0.20914899,0.790851,0,0
Yup!,203,0.2900519,0.70994806,0,1
Should I use IUDs before or after being a mom ?,163,0.5850827,0.4149173,1,0
Yup!,203,0.2900519,0.70994806,0,1
Alafu how does someone know anafeel mtu ama  akona na feelings coz personally naonanga kama zangu zinakuwanga zimezima tu,1,0.70125806,0.29874194,1,1
My man hasn't been spending on...he has never even bought me a gift.. he is always busy working but he got time to go to club with his friends...he doesn't call me but when we are together he makes calls to other women giving them relationship advice,16,0.33574998,0.66425,0,0
2023-12-30T03:44:01.108623Z,137,0.27012724,0.72987276,0,0
oky mbona ukifanya sex usiku then mchana ukute umechoka for 2 days io inamaanisha nn ?,259,0.7550983,0.24490172,1,0
Is it healthy to watch porn?,231,0.51275283,0.48724717,1,0
i have a problem my dick is so small is there any medication for that,149,0.3741963,0.6258037,0,0
Niko na itchiness after kushave ni normal,42,0.5263751,0.47362489,1,0
Tell me about sex like is it compulsory,275,0.5714046,0.42859542,1,1
E pills iko na side effects gani,114,0.6445013,0.35549867,1,1
How long a man is supposed to last on bed,97,0.33619335,0.6638067,0,0
How should you stay to have sex after delivery through cs,341,0.48078477,0.5192152,1,0
2024-05-28T21:41:01.203428Z,137,0.26811808,0.7318819,0,0
I want a quiz,232,0.34564558,0.65435445,0,1
"iam a strong woman and indipendent , i had a boyfriend whom i  trusted after sometime i found out that he has been lying to me about small staff and i find it hard to his galfried again though he has been begging another thing i dont believe in second chances his baby mama showed up and told me everything , and i become so disappointed because he never told about that , in this case what should i do???",225,0.43119782,0.5688022,0,0
Am pregnant,239,0.49010202,0.50989795,1,1
I'm 25 years old today and would like to know the best contraceptive methods for me . The times I have had sex was didn't use any and have used p2 only three times at different occasions,124,0.6298724,0.37012762,1,1
issue,47,0.3717449,0.6282551,0,1
What can I do if I am in a situation ship,334,0.3801912,0.6198088,0,0
Recently had my periods but zilikuwa unusual,150,0.66076845,0.33923155,1,1
Can queer people get STI from each other,169,0.53563845,0.46436155,1,1
Ok so I was wondering if it is ok to have sex before marriage,234,0.50880367,0.49119633,1,0
2023-12-03T21:33:01.634620Z,137,0.26343396,0.73656607,0,0
Iko best Sasa nikona quiz about sexual issues,0,0.613079,0.386921,1,1
2024-05-19T17:12:01.721629Z,137,0.26474684,0.73525316,0,0
I was in a relationship recently but it ended ...And am so hurt and feel like am not enough for anyone,135,0.39012226,0.6098777,0,1
Sasa last month my periods were a bit unsual,150,0.6032836,0.39671642,1,1
2024-10-10T04:34:01.328400Z,137,0.262156,0.737844,0,0
3,232,0.25455728,0.74544275,0,1
Is it normal for a guy kamwanga haraka akihave sex n msee like 5 second. He is done n amelala,81,0.53851897,0.46148103,1,1
types of family planning,124,0.58603084,0.41396916,1,1
Can having a sex with two different men cause sickness,207,0.46812367,0.5318763,1,0
2024-09-17T11:22:01.587477Z,137,0.26574215,0.7342578,0,0
Can I speak to someone,232,0.4007493,0.5992507,0,1
Is family planning ok does it have effects,226,0.6098568,0.39014322,1,0
2023-12-06T20:17:01.512871Z,137,0.2684956,0.73150444,0,0
Wen during tyme of sexual,118,0.53088266,0.46911734,1,1
Kusakiwa breast na more than 10 people inaweza leta any problem,25,0.5200886,0.4799114,1,0
2023-12-15T16:07:01.364273Z,137,0.26806542,0.73193455,0,1
So am in a relationship and any time we have sex with my partner I take the emergency pills and this has been going on for like a year. I feel like I have taken the pill too much so was asking what are the side effects of taking the pills continuously,114,0.5749759,0.4250241,1,0
2024-10-28T09:29:01.318657Z,137,0.27213895,0.72786105,0,0
How do I know that a man loves me,218,0.34481096,0.65518904,0,0
We ni nani na ushai have sex,152,0.6845214,0.31547862,1,1
1. I wanted to confirm if vaginal discharge are normal for toddlers (now 3yr old girl) slight smell and yellow ish in colo,82,0.4896669,0.51033306,1,1
Nivimbaya kuhave sed na msee amekuacha na Kaa 5years hivi,254,0.6738535,0.32614648,1,1
what causes infection,169,0.4306984,0.5693016,0,1
how can someone overcome the pain of loosing a close person,179,0.36432698,0.63567305,0,1
Naeza pata wapi dame wa kuhave sex?,329,0.7682326,0.23176742,1,1
Tuseme you get drunk at a party and a guy decided to have sex with you juu umembleki and then you loose your virginity Ivo na ilikw like 3 years ago bado unaeza report uyo msee,45,0.5119374,0.48806262,1,1
2023-11-23T07:29:02.789874Z,137,0.2725437,0.72745633,0,0
Do family planning affect menstrual period,226,0.5053563,0.4946437,1,0
3,232,0.25455728,0.74544275,0,1
I always masturbate and i want to stop how can i do so.,143,0.46459633,0.53540367,1,1
Sina swali,337,0.5550002,0.4449998,1,0
Musterbating ni wrong... ama kama ni wrong what are the effects...,143,0.5582249,0.44177508,1,1
mimi nimeolewa like 3yrs ago now na bae wangu ajai nipeleka out na nikihappen kuuliza anasemanga tu nigoje,171,0.5790855,0.42091447,1,1
Dem anaweza kupata mimba time ya menstruation,308,0.6518922,0.3481078,1,1
4,232,0.23053952,0.7694605,0,1
"okay am kinda dating this guy long distance currently ako qatar sa communication yake ni very bad I mean he can go for hrs or even days without talking to me and he craims he loves me  is this even possible ?, to add up he is kitu29 and am 23",30,0.55370235,0.44629765,1,1
2024-12-15T10:58:01.472015Z,137,0.26491147,0.7350885,0,1
Me nikihave sex nawashwa shida inaweza gny na nininawashwa sn,152,0.74642134,0.25357866,1,0
